product,avg_ibp,std_ibp,avg_fbp,std_fbp,avg_test_duration,std_test_duration,category
**4100 GOMK,279.4282857142857,6.710008015749938,357.0885714285714,15.906673493192953,41.707142857142856,2.330074254556284,Diesel
10% BTMS,186.7810421052632,16.022744280391052,304.94236842105266,22.93160842223909,32.61140350877193,3.412557001799574,Diesel
10% RESIDUE,214.1765,25.429681171811797,325.38,4.903078420747499,36.75833333333334,0.789602572324981,Diesel
10% Residue,209.833,34.04294887344515,322.898,29.3633161955526,35.233333333333334,3.606244584051396,Diesel
10%RESID-CCR,211.49783333333332,12.20735218491982,312.5885,9.14438520076665,34.980555555555554,0.6159380079436817,Diesel
106558-153a,68.563,0.0,135.578,0.0,35.78333333333333,0.0,Light Naphtha
107972-5 ez,40.589,0.0,123.459,0.0,36.91666666666666,0.0,Light Naphtha
15647-1srvhi,30.288,0.0,147.298,0.0,33.68333333333333,0.0,Light Naphtha
17089-181x,35.335,,131.419,,33.983333333333334,,Light Naphtha
171450-24a,153.897,0.0,218.874,0.0,42.9,0.0,Heavy Naphtha
171450-43a,29.964,0.0,137.51,0.0,34.1,0.0,Unknown/Needs Review
171450-78a,23.209,,163.374,,35.916666666666664,,Unknown/Needs Review
171450-78opt,24.052111111111117,0.0295145914949068,171.00155555555557,0.0432177946889847,35.8,0.0,Unknown/Needs Review
174586-999,27.413,0.0,75.614,0.0,34.9,0.0,Unknown/Needs Review
174835-333333333,37.678,0.0,110.212,0.0,36.68333333333333,0.0,Light Naphtha
174869-25opt,36.013,0.0,128.974,0.0,34.166666666666664,0.0,Light Naphtha
174930-111111111,33.122,0.0,144.465,0.0,35.666666666666664,0.0,Light Naphtha
175019-2 bagels,46.431,0.0,314.609,0.0,34.833333333333336,0.0,Unknown/Needs Review
175142-444,71.237,0.0,121.268,0.0,36.083333333333336,0.0,Light Naphtha
175154-2ttttttbb,33.399,,126.167,,35.18333333333333,,Light Naphtha
175256-1010,27.073,,76.052,,32.95,,Unknown/Needs Review
175281-2800,27.461,,81.787,,35.21666666666667,,Unknown/Needs Review
175334-1a,27.165,,47.319,,35.68333333333333,,Unknown/Needs Review
175338-16A,61.301,,139.704,,35.78333333333333,,Light Naphtha
175403-1GGGG,26.492,,45.183,,33.766666666666666,,Unknown/Needs Review
175430-25a,167.385,,271.381,,42.56666666666667,,Unknown/Needs Review
175458-21,27.682,,78.21,,35.75,,Unknown/Needs Review
175536-6 opt,26.68,,49.209,,31.066666666666663,,Unknown/Needs Review
175546-19,27.435,,74.24,,35.96666666666667,,Unknown/Needs Review
175591-2ggggg,49.64,,305.433,,36.35,,Unknown/Needs Review
175655-5 10%opt,43.584,,147.614,,35.53333333333333,,Light Naphtha
175664-3,45.851,,99.637,,36.9,,Light Naphtha
175707-5BAGEL,35.082,,175.898,,34.93333333333333,,Reformulated Gasoline
175707-6BAGEL,34.949,,153.406,,35.81666666666667,,Light Naphtha
175719-3opt,104.209,,126.285,,39.3,,Unknown/Needs Review
175728-1a,111.798,98.79978789450917,160.1595,166.92316230080235,16.116666666666667,19.63399829094647,Heavy Naphtha
175728-2A,29.725,,239.241,,38.3,,Unknown/Needs Review
175729-111,29.114,,46.075,,35.016666666666666,,Unknown/Needs Review
175730-1aaa,36.729,,129.104,,35.2,,Light Naphtha
175755-1iou,25.16,0.0056568542494942,42.0405,1.5054303371461557,70.33333333333334,1.979898987322326,Unknown/Needs Review
175821-999,27.274,,73.836,,34.95,,Unknown/Needs Review
175822-17a,35.3,,133.656,,36.28333333333333,,Light Naphtha
175897-111,30.041,,171.314,,33.766666666666666,,Reformulated Gasoline
175922-134,26.754,,76.977,,36.16666666666666,,Unknown/Needs Review
176015-1B,38.385,,152.404,,35.4,,Light Naphtha
176062-123,23.76,,33.025,,34.65,,Unknown/Needs Review
176323-19,57.807,,81.398,,35.28333333333333,,Light Naphtha
176339-54444444A,28.057,,81.845,,35.28333333333333,,Unknown/Needs Review
176373-8rrrrrr,57.295,,359.305,,33.78333333333333,,Crude Atmospheric Cuts
176378-3,40.094,,145.596,,33.833333333333336,,Light Naphtha
176533°10A,27.735,,74.673,,35.43333333333333,,Unknown/Needs Review
176542-1099,27.601,,80.549,,36.333333333333336,,Unknown/Needs Review
176603-7uuuu,42.64,,152.18,,35.86666666666667,,Light Naphtha
176611-37a,36.846,,131.185,,35.55,,Light Naphtha
176612-14a,49.528000000000006,30.443775357205617,119.4185,66.13923277828374,54.75833333333333,22.6863425630684,Light Naphtha
176704-54wewee,33.571,,136.288,,36.083333333333336,,Light Naphtha
176719-15bb,27.776,,79.554,,35.1,,Unknown/Needs Review
176732-95aaaaaa,35.067,,139.349,,36.833333333333336,,Light Naphtha
176756-112CCC,35.9975,0.2722361107568168,175.704,0.6180113267570492,35.96666666666667,0.1414213562373115,Reformulated Gasoline
176756-3tttttttt,34.639,,172.917,,32.61666666666667,,Reformulated Gasoline
176756-99a,34.14566666666666,1.4413418516553698,146.24033333333333,13.444633923366364,34.22777777777778,1.185834602170011,Light Naphtha
176760-26GGG,33.997,,130.107,,34.03333333333333,,Light Naphtha
176765-1a,27.631,,42.978,,33.81666666666667,,Unknown/Needs Review
176767-21qqqqq,62.165,,163.388,,34.81666666666667,,Reformulated Gasoline
176791-2oooop,31.91,,134.412,,37.15,,Light Naphtha
176800-6,35.494,,176.721,,37.68333333333333,,Reformulated Gasoline
176829-9ttrttt,27.489,,79.393,,36.766666666666666,,Unknown/Needs Review
176854-888,27.46,,63.401,,33.38333333333333,,Unknown/Needs Review
176869-4zzz,46.546,,263.409,,25.9,,Unknown/Needs Review
176871-777,60.543,,121.281,,35.083333333333336,,Light Naphtha
176918-10,33.934,,155.748,,36.71666666666667,,Light Naphtha
176942-6,26.888,,69.527,,35.75,,Unknown/Needs Review
176952-9tttttt,33.155,,131.654,,35.3,,Light Naphtha
176952°26JJJ,33.777,,147.496,,34.5,,Light Naphtha
176957-3,35.627,,130.848,,37.766666666666666,,Light Naphtha
176991-20hhhhhh,156.03,,235.697,,41.766666666666666,,Jet Fuel / Kerosene
176991=16tttttttt,154.457,,237.22,,41.93333333333333,,Jet Fuel / Kerosene
177069-18 opt,32.368,,153.522,,35.55,,Light Naphtha
177073-111,25.879,,43.942,,31.4,,Unknown/Needs Review
177190-6,60.025,,114.796,,37.45,,Light Naphtha
177191-13a,33.598,,89.8,,34.56666666666667,,Light Naphtha
177193-5yuuuuyuu,159.249,,228.02,,41.73333333333333,,Jet Fuel / Kerosene
177197-7aaaaaaa,27.243,,76.437,,33.766666666666666,,Unknown/Needs Review
177211-12ccccc,103.024,,126.25,,38.35,,Unknown/Needs Review
177211-6444,27.131,0.0,82.719,0.0,35.4,0.0,Unknown/Needs Review
177236-17opt,156.552,0.0,237.806,0.0,41.81666666666667,0.0,Jet Fuel / Kerosene
177236-21ggggg,157.658,0.0,237.75,0.0,41.11666666666667,0.0,Jet Fuel / Kerosene
177252-6,28.003,0.0,52.963,0.0,35.516666666666666,0.0,Unknown/Needs Review
177259_7,43.169,,149.768,,35.55,,Light Naphtha
177291-20,28.043,0.0,74.388,0.0,34.766666666666666,0.0,Unknown/Needs Review
177322-27hhhhh,33.742,0.0,128.229,0.0,34.6,0.0,Light Naphtha
177427-7,28.655,0.0,51.507,0.0,69.4,0.0,Unknown/Needs Review
"177480-8;,llkkhk",222.481,0.0,341.676,0.0,38.583333333333336,0.0,Diesel
177492-110dddd,35.102,0.0,140.417,0.0,36.016666666666666,0.0,Light Naphtha
177492-111ddddd,35.242,0.0,137.662,0.0,36.266666666666666,0.0,Light Naphtha
177492-20qqqqq,34.864,0.0,132.674,0.0,33.516666666666666,0.0,Light Naphtha
177511+7EEEEE,185.408,0.0,314.746,0.0,42.1,0.0,Diesel
177558-10qqqqq,27.143,0.0,73.679,0.0,35.53333333333333,0.0,Unknown/Needs Review
177593-2GGG,47.351,0.0,303.129,0.0,33.28333333333333,0.0,Unknown/Needs Review
177626-19ttrtr,93.484,0.0,168.216,0.0,39.06666666666667,0.0,Heavy Naphtha
177640-1b,36.319,,145.993,,34.71666666666667,,Light Naphtha
177680-666,26.759,0.0,50.838,0.0,32.31666666666667,0.0,Unknown/Needs Review
1777024-6eeeeeee,194.335,,339.661,,38.16666666666666,,Diesel
177712_5ddddd,185.726,0.0,319.997,0.0,42.41666666666666,0.0,Diesel
177730-6aaaa,39.924,0.0,145.891,0.0,36.016666666666666,0.0,Light Naphtha
177731-1212,27.154000000000003,0.0,54.77,0.0,32.416666666666664,0.0,Unknown/Needs Review
177744-82b,58.045,0.0,145.391,0.0,36.766666666666666,0.0,Light Naphtha
177750-10222,27.46,0.0,83.794,0.0,34.516666666666666,0.0,Unknown/Needs Review
177756-20,34.657,0.0,154.59,0.0,34.31666666666667,0.0,Light Naphtha
177766-1aaaaa,35.545,0.0,157.26,0.0,34.63333333333333,0.0,Light Naphtha
177811-4fff,35.508,0.0,149.422,0.0,33.25,0.0,Light Naphtha
177832-6a,29.337,0.0,66.5,0.0,33.416666666666664,0.0,Unknown/Needs Review
177843-6a,39.079,0.0,143.308,0.0,33.516666666666666,0.0,Light Naphtha
177874-5,32.175,0.0,69.557,0.0,34.483333333333334,0.0,Light Naphtha
177952-6,27.785,0.0,70.418,0.0,34.11666666666667,0.0,Unknown/Needs Review
178083-1a,35.149,0.0,134.081,0.0,36.18333333333333,0.0,Light Naphtha
178493-10GGG,36.551,0.0,147.075,0.0,34.88333333333333,0.0,Light Naphtha
178500-18rrrrr,191.704,,342.183,,39.9,,Diesel
178607-1111,26.339,0.0,48.593,0.0,34.1,0.0,Unknown/Needs Review
178610-8vcx,28.062,0.0,82.494,0.0,36.0,0.0,Unknown/Needs Review
178643-9aaaa,40.277,0.0,145.613,0.0,33.516666666666666,0.0,Light Naphtha
178706-12,27.778,0.0,77.345,0.0,67.78333333333333,0.0,Unknown/Needs Review
178738-1aaaaa,153.784,0.0,294.254,0.0,43.04999999999999,0.0,Unknown/Needs Review
178753-8qqqqq,27.147,0.0,85.41699999999999,0.0,32.81666666666667,0.0,Unknown/Needs Review
178761-6qqqq,190.547,0.0,316.413,0.0,41.06666666666667,0.0,Diesel
178915-11aaaaaa',28.229,,100.452,,35.71666666666667,,Unknown/Needs Review
178915-18a,27.863,0.0,76.345,0.0,34.46666666666667,0.0,Unknown/Needs Review
178919-3bkkp,36.153,0.0,141.72,0.0,33.85,0.0,Light Naphtha
178931-6PPO,34.977,0.0,156.483,0.0,31.866666666666664,0.0,Light Naphtha
178948-111,27.094,,40.599,,35.05,,Unknown/Needs Review
178960-17aaa24,221.21,0.0,343.22700000000003,0.0,39.25,0.0,Diesel
178974-6a,27.59,,100.968,,33.75,,Unknown/Needs Review
178980-14,27.902,0.0,76.97,0.0,32.583333333333336,0.0,Unknown/Needs Review
179012-25a,51.716,0.0,152.034,0.0,36.6,0.0,Light Naphtha
179015-6a,39.377,,128.022,,35.7,,Light Naphtha
179049=19qqqqq',28.043,0.0,104.789,0.0,34.7,0.0,Unknown/Needs Review
179053-3ttttt;,31.829,0.0,158.54,0.0,32.56666666666667,0.0,Light Naphtha
1790640-4uuuu-,34.879,0.0,156.482,0.0,33.65,0.0,Light Naphtha
179081-8aaaa3,27.964,0.0,96.69599999999998,0.0,32.4,0.0,Unknown/Needs Review
179100-4a,36.648,0.0,104.40500000000002,0.0,35.96666666666667,0.0,Light Naphtha
179109-21kjf,35.762,0.0,151.02,0.0,36.05,0.0,Light Naphtha
179169-21 optimze,29.137,0.0513141584471859,88.752,14.549702009712384,34.69166666666666,0.953231762820984,Unknown/Needs Review
179271-25qqqq3,39.665,0.0,142.087,0.0,36.3,0.0,Light Naphtha
179306-49,34.171,1.1337856940356947,149.806,6.512421208736436,35.8,1.241504463678376,Light Naphtha
179317-6dddds,27.448,0.0,87.217,0.0,32.21666666666667,0.0,Unknown/Needs Review
179325-4eeeeer,27.9,0.0,75.651,0.0,35.46666666666667,0.0,Unknown/Needs Review
179328-6tttrf,33.557,0.0,120.862,0.0,37.15,0.0,Light Naphtha
179362-1tfgvb,25.215,0.0,39.145,0.0,36.0,0.0,Unknown/Needs Review
179368-2,31.514,0.0,161.584,0.0,36.0,0.0,Reformulated Gasoline
179374-2111,30.527,0.0,99.853,0.0,32.016666666666666,0.0,Light Naphtha
179398-27werdry,41.772,0.0,44.505,0.0,36.2,0.0,Light Naphtha
179398-2ertret,39.9,0.0,123.801,0.0,36.36666666666667,0.0,Light Naphtha
179398_16BBB,40.617,0.0,146.682,0.0,35.06666666666667,0.0,Light Naphtha
179412-19,37.197,0.0,163.258,0.0,33.86666666666667,0.0,Reformulated Gasoline
179526-17ggggsfhc,33.787,0.0,127.699,0.0,70.06666666666666,0.0,Light Naphtha
179541-1qQQE,26.301,0.0,38.008,0.0,34.083333333333336,0.0,Unknown/Needs Review
179552-3a,25.176,0.0,126.057,0.0,32.016666666666666,0.0,Unknown/Needs Review
