short_id,week,instrument_id,test_count,error_count,critical_error_count,error_rate,critical_error_rate,downtime_hours
OF02,2023-11-27,0d0a979d-eb25-4357-9b6f-243b3a93fab9,39.0,13.0,0.0,0.3333333333333333,0.0,142.6302777777778
OF02,2023-12-04,0d0a979d-eb25-4357-9b6f-243b3a93fab9,58.0,27.0,0.0,0.4655172413793103,0.0,161.4272222222222
OF03,2023-05-01,1d9b44f3-2f01-4dcb-82f2-7bd331a8dc55,19.0,2.0,0.0,0.1052631578947368,0.0,147.08055555555555
OF03,2023-05-08,1d9b44f3-2f01-4dcb-82f2-7bd331a8dc55,3.0,1.0,0.0,0.3333333333333333,0.0,73.24277777777777
OF03,2023-05-15,1d9b44f3-2f01-4dcb-82f2-7bd331a8dc55,10.0,1.0,0.0,0.1,0.0,52.915
OF03,2023-05-22,1d9b44f3-2f01-4dcb-82f2-7bd331a8dc55,7.0,0.0,0.0,0.0,0.0,141.9297222222222
OF03,2023-05-29,1d9b44f3-2f01-4dcb-82f2-7bd331a8dc55,8.0,1.0,0.0,0.125,0.0,111.70527777777778
OF03,2023-06-05,1d9b44f3-2f01-4dcb-82f2-7bd331a8dc55,10.0,0.0,0.0,0.0,0.0,151.28583333333333
OF03,2023-06-12,1d9b44f3-2f01-4dcb-82f2-7bd331a8dc55,39.0,1.0,0.0,0.0256410256410256,0.0,115.64805555555556
OF03,2023-06-19,,0.0,0.0,0.0,0.0,0.0,170.0
OF03,2023-06-26,1d9b44f3-2f01-4dcb-82f2-7bd331a8dc55,6.0,2.0,0.0,0.3333333333333333,0.0,138.45638888888888
OF03,2023-07-03,1d9b44f3-2f01-4dcb-82f2-7bd331a8dc55,10.0,1.0,0.0,0.1,0.0,152.13
OF03,2023-07-10,1d9b44f3-2f01-4dcb-82f2-7bd331a8dc55,9.0,0.0,0.0,0.0,0.0,163.42111111111112
OF08,2023-05-01,2c08e260-ad0e-4abd-8946-704e91559557,12.0,3.0,0.0,0.25,0.0,151.095
OF08,2023-05-08,2c08e260-ad0e-4abd-8946-704e91559557,4.0,0.0,0.0,0.0,0.0,49.41
OF08,2023-05-15,2c08e260-ad0e-4abd-8946-704e91559557,7.0,1.0,0.0,0.1428571428571428,0.0,88.09666666666666
OF08,2023-05-22,2c08e260-ad0e-4abd-8946-704e91559557,7.0,1.0,0.0,0.1428571428571428,0.0,129.835
OF08,2023-05-29,2c08e260-ad0e-4abd-8946-704e91559557,7.0,1.0,0.0,0.1428571428571428,0.0,135.85694444444445
OF08,2023-06-05,2c08e260-ad0e-4abd-8946-704e91559557,1.0,0.0,0.0,0.0,0.0,170.0
OF08,2023-06-12,2c08e260-ad0e-4abd-8946-704e91559557,5.0,0.0,0.0,0.0,0.0,43.42444444444445
OF08,2023-06-19,,0.0,0.0,0.0,0.0,0.0,170.0
OF08,2023-06-26,2c08e260-ad0e-4abd-8946-704e91559557,5.0,0.0,0.0,0.0,0.0,117.94472222222224
OF08,2023-07-03,2c08e260-ad0e-4abd-8946-704e91559557,7.0,1.0,0.0,0.1428571428571428,0.0,89.82194444444444
OF08,2023-07-10,2c08e260-ad0e-4abd-8946-704e91559557,2.0,0.0,0.0,0.0,0.0,111.77166666666666
OD23,2023-11-13,2df7e68d-32af-450d-a6ca-b82653d76940,6.0,0.0,0.0,0.0,0.0,69.7063888888889
OD23,2023-11-20,2df7e68d-32af-450d-a6ca-b82653d76940,21.0,0.0,0.0,0.0,0.0,146.5936111111111
OD23,2023-11-27,2df7e68d-32af-450d-a6ca-b82653d76940,15.0,0.0,0.0,0.0,0.0,123.25083333333332
OD23,2023-12-04,2df7e68d-32af-450d-a6ca-b82653d76940,12.0,0.0,0.0,0.0,0.0,125.18527777777778
OD23,2023-12-11,2df7e68d-32af-450d-a6ca-b82653d76940,7.0,0.0,0.0,0.0,0.0,78.90611111111112
OD23,2023-12-18,2df7e68d-32af-450d-a6ca-b82653d76940,12.0,3.0,0.0,0.25,0.0,96.30055555555556
OD23,2023-12-25,2df7e68d-32af-450d-a6ca-b82653d76940,11.0,0.0,0.0,0.0,0.0,121.0736111111111
OD15,2023-09-18,31918705-0179-47c5-ba12-afb2366af552,5.0,13.0,9.0,2.6,1.8,66.39916666666667
