instrument_id,total_downtime
055dc39a-2794-458a-8e8c-464646a22267,0 days 00:00:00
0889e4ec-1473-4d57-a5cb-df61853edf03,160 days 02:23:11
0aa8fd0d-019e-422b-bcfb-6f0803909220,288 days 08:38:05
104fd04f-01f7-4ae2-8e7a-ce353fba1579,21 days 19:18:03
1114da92-0859-4dfb-a363-26447dc0f84d,242 days 02:58:14
1d9b44f3-2f01-4dcb-82f2-7bd331a8dc55,36 days 03:04:50
2618baab-9161-4b0e-a67a-5a0be28e71ff,39 days 17:18:23
2c08e260-ad0e-4abd-8946-704e91559557,37 days 18:53:19
2ed1d374-7800-48a8-9a5e-dca96443823a,298 days 21:11:57
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,152 days 21:37:40
3496d2f1-d22c-4621-9f6b-2dbca40d015c,93 days 06:52:30
40099742-8937-46e4-9d96-9ea230115e6b,176 days 03:26:07
440b6470-efce-479e-be17-8d0f6792e339,168 days 01:39:50
4a85fc29-5ce7-4e90-b870-7d3001d2ce75,45 days 20:07:44
5064f4b6-85f1-41d9-8562-ae9948202868,72 days 02:09:11
51ffd6e3-27f9-462e-af2f-6baddaa288ec,297 days 16:01:34
5847907c-3596-45ae-a76f-97db77d8cb94,113 days 22:46:48
62548191-5d9a-41c7-aae5-5788aec74ee4,70 days 11:00:46
6befda03-748b-44fd-8195-0315b54159a9,48 days 01:16:18
6eef081e-3730-4f4a-a382-a6c5a991b25f,6 days 01:53:23
731f339c-0327-4a22-9df3-3324da5ac628,298 days 19:48:46
7f33271c-1569-4840-a04c-8ad769055b74,72 days 04:21:38
8ffe5bf8-31fa-406b-a818-4a654628686d,125 days 00:43:44
92326ee8-3704-4d95-860a-288c627e35f7,134 days 18:00:26
942706ef-836a-4464-bc76-74aa97b76f8b,159 days 19:02:22
9fd6c3a0-a77e-4ec1-9ae9-8f4b381aeb38,148 days 00:27:29
b1874761-53e7-4fa7-ab56-652c3ae0e502,298 days 22:53:36
b2ad9c3f-39e0-4613-b2cc-9c3085d1b8ba,114 days 05:38:19
ba5afa1a-6e39-4c93-a3a4-20274836bdd4,199 days 10:03:58
ba5afa1a-6e39-4c93-a3a4-20274836ffd4,297 days 06:54:01
c0983ff3-7d72-4887-b98f-c6801a6c466d,289 days 12:56:30
ccb19ec8-2711-4d72-a960-640432c04b74,298 days 13:05:59
d1786860-8805-4192-af2b-a6f12832ac56,298 days 19:27:27
d6357a57-755c-45fd-82a7-22e62ec5d434,82 days 21:58:21
d9680145-4a1f-48a8-9ad3-52e904efc45e,125 days 11:45:48
e1326398-e01a-445f-9caa-c175da8ac7d3,159 days 11:50:22
ed9e17d0-749c-41e4-8715-2d949a7741f6,98 days 23:53:13
ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,225 days 22:40:12
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,262 days 02:31:44
f77eb9b4-003d-4580-846a-915d29c46164,1 days 13:41:27
fe7b670f-f735-4991-94c5-ef3e10071a27,147 days 14:29:16
ff8d05b6-31be-404a-a473-3f5862765497,298 days 08:25:32
