short_id,downtime_start_week,error_week,error_count,critical_error_count,prior_error_week,prior_error_count,prior_critical_error_count
CPP01,2024-07-15,2024-07-08,1.0,1.0,,,
CPP01,2024-07-22,2024-07-15,1.0,1.0,2024-07-08,1.0,1.0
CPP01,2024-07-29,2024-07-15,1.0,1.0,2024-07-08,1.0,1.0
CPP01,2024-08-05,2024-07-15,1.0,1.0,2024-07-08,1.0,1.0
CPP01,2024-08-12,2024-07-15,1.0,1.0,2024-07-08,1.0,1.0
CPP01,2024-08-19,2024-07-15,1.0,1.0,2024-07-08,1.0,1.0
CPP01,2024-08-26,2024-08-19,1.0,1.0,2024-07-15,1.0,1.0
CPP02,2024-07-01,2024-05-13,1.0,1.0,2024-05-06,1.0,1.0
CPP02,2024-07-08,2024-05-13,1.0,1.0,2024-05-06,1.0,1.0
CPP02,2024-07-15,2024-05-13,1.0,1.0,2024-05-06,1.0,1.0
CPP02,2024-07-22,2024-05-13,1.0,1.0,2024-05-06,1.0,1.0
CPP02,2024-07-29,2024-05-13,1.0,1.0,2024-05-06,1.0,1.0
CPP02,2024-08-05,2024-05-13,1.0,1.0,2024-05-06,1.0,1.0
CPP02,2024-08-12,2024-05-13,1.0,1.0,2024-05-06,1.0,1.0
CPP02,2024-08-19,2024-05-13,1.0,1.0,2024-05-06,1.0,1.0
CPP02,2024-08-26,2024-05-13,1.0,1.0,2024-05-06,1.0,1.0
CPP02,2024-09-02,2024-05-13,1.0,1.0,2024-05-06,1.0,1.0
CPP02,2024-09-09,2024-05-13,1.0,1.0,2024-05-06,1.0,1.0
CPP02,2024-09-16,2024-05-13,1.0,1.0,2024-05-06,1.0,1.0
CPP02,2024-11-04,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP02,2024-11-11,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP02,2024-11-18,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP02,2024-11-25,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP02,2024-12-02,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP02,2024-12-09,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP02,2024-12-16,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP02,2024-12-23,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP02,2024-12-30,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP02,2025-01-06,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP02,2025-01-13,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP02,2025-01-20,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP02,2025-01-27,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP02,2025-02-03,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP02,2025-02-10,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP02,2025-02-17,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP02,2025-02-24,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP02,2025-03-03,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP02,2025-03-10,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP02,2025-03-17,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP02,2025-03-24,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP03,2024-04-08,2024-04-01,1.0,1.0,,,
CPP03,2024-04-15,2024-04-01,1.0,1.0,,,
CPP03,2024-04-22,2024-04-01,1.0,1.0,,,
CPP03,2024-04-29,2024-04-01,1.0,1.0,,,
CPP03,2024-07-01,2024-05-13,1.0,1.0,2024-05-06,1.0,1.0
CPP03,2024-07-08,2024-05-13,1.0,1.0,2024-05-06,1.0,1.0
CPP03,2024-07-15,2024-05-13,1.0,1.0,2024-05-06,1.0,1.0
CPP03,2024-07-22,2024-05-13,1.0,1.0,2024-05-06,1.0,1.0
CPP03,2024-07-29,2024-05-13,1.0,1.0,2024-05-06,1.0,1.0
CPP03,2024-08-05,2024-05-13,1.0,1.0,2024-05-06,1.0,1.0
CPP03,2024-08-12,2024-05-13,1.0,1.0,2024-05-06,1.0,1.0
CPP03,2024-08-19,2024-05-13,1.0,1.0,2024-05-06,1.0,1.0
CPP03,2024-08-26,2024-05-13,1.0,1.0,2024-05-06,1.0,1.0
CPP03,2024-09-02,2024-05-13,1.0,1.0,2024-05-06,1.0,1.0
CPP03,2024-10-28,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP03,2024-11-04,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP03,2024-11-11,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP03,2024-11-18,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP03,2024-11-25,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP03,2024-12-02,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP03,2024-12-09,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP03,2024-12-16,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP03,2024-12-23,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP03,2024-12-30,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP03,2025-01-06,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP03,2025-01-13,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP03,2025-01-20,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP03,2025-01-27,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP03,2025-02-03,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP03,2025-02-10,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP03,2025-02-17,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP03,2025-02-24,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP03,2025-03-03,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
CPP03,2025-03-10,2024-10-21,1.0,1.0,2024-05-13,1.0,1.0
