instrument_type,short_id,type,total_errors,error_category,count,percent
OptiCPP,CPP01,Critical,17,Power Supply Issue,17,100.0
OptiCPP,CPP01,Total,17,Power Supply Issue,17,100.0
OptiCPP,CPP02,Critical,5,Power Supply Issue,3,60.0
OptiCPP,CPP02,Total,5,Power Supply Issue,3,60.0
OptiCPP,CPP03,Critical,4,Power Supply Issue,2,50.0
OptiCPP,CPP03,Total,4,Power Supply Issue,2,50.0
OptiDist,OD01,Critical,8092,Process Issue,2674,33.04
OptiDist,OD01,Non-Critical,7122,Unknown Issue,2326,32.66
OptiDist,OD01,Total,15214,Heating System Issue,3788,24.9
OptiDist,OD02,Critical,4823,Process Issue,1747,36.22
OptiDist,OD02,Non-Critical,3969,Unknown Issue,1375,34.64
OptiDist,OD02,Total,8792,Heating System Issue,2182,24.82
OptiDist,OD03,Critical,3390,Process Issue,1176,34.69
OptiDist,OD03,Non-Critical,2924,Unknown Issue,927,31.7
OptiDist,OD03,Total,6314,Heating System Issue,1432,22.68
OptiDist,OD04,Critical,1880,Heating System Issue,567,30.16
OptiDist,OD04,Non-Critical,1796,Unknown Issue,695,38.7
OptiDist,OD04,Total,3676,Heating System Issue,944,25.68
OptiDist,OD05,Critical,1340,Process Issue,434,32.39
OptiDist,OD05,Non-Critical,1292,Unknown Issue,548,42.41
OptiDist,OD05,Total,2632,Heating System Issue,637,24.2
OptiDist,OD06,Critical,1051,Process Issue,400,38.06
OptiDist,OD06,Non-Critical,973,Unknown Issue,456,46.87
OptiDist,OD06,Total,2024,Unknown Issue,456,22.53
OptiDist,OD07,Critical,693,Process Issue,287,41.41
OptiDist,OD07,Non-Critical,652,Unknown Issue,309,47.39
OptiDist,OD07,Total,1345,Unknown Issue,309,22.97
OptiDist,OD08,Critical,643,Process Issue,254,39.5
OptiDist,OD08,Non-Critical,664,Unknown Issue,333,50.15
OptiDist,OD08,Total,1307,Unknown Issue,333,25.48
OptiDist,OD09,Critical,524,Process Issue,228,43.51
OptiDist,OD09,Non-Critical,462,Unknown Issue,219,47.4
OptiDist,OD09,Total,986,Process Issue,229,23.23
OptiDist,OD10,Critical,510,Process Issue,234,45.88
OptiDist,OD10,Non-Critical,462,Unknown Issue,232,50.22
OptiDist,OD10,Total,972,Process Issue,234,24.07
OptiDist,OD11,Critical,545,Process Issue,191,35.05
OptiDist,OD11,Non-Critical,220,Calibration Issue,73,33.18
OptiDist,OD11,Total,765,Process Issue,248,32.42
OptiDist,OD12,Critical,406,Process Issue,140,34.48
OptiDist,OD12,Non-Critical,164,Calibration Issue,71,43.29
OptiDist,OD12,Total,570,Process Issue,183,32.11
