product,avg_ibp,std_ibp,avg_fbp,std_fbp,avg_test_duration,std_test_duration,category
171450-43a,29.964,0.0,137.51,0.0,34.1,0.0,Unknown/Needs Review
171450-78a,23.209,,163.374,,35.916666666666664,,Unknown/Needs Review
171450-78opt,24.05211111111112,0.0295145914949068,171.00155555555557,0.0432177946889847,35.8,0.0,Unknown/Needs Review
174586-999,27.413,0.0,75.614,0.0,34.9,0.0,Unknown/Needs Review
175019-2 bagels,46.431,0.0,314.609,0.0,34.833333333333336,0.0,Unknown/Needs Review
175256-1010,27.073,,76.052,,32.95,,Unknown/Needs Review
175281-2800,27.461,,81.787,,35.21666666666667,,Unknown/Needs Review
175334-1a,27.165,,47.319,,35.68333333333333,,Unknown/Needs Review
175403-1GGGG,26.492,,45.183,,33.766666666666666,,Unknown/Needs Review
175430-25a,167.385,,271.381,,42.56666666666667,,Unknown/Needs Review
175458-21,27.682,,78.21,,35.75,,Unknown/Needs Review
175536-6 opt,26.68,,49.209,,31.066666666666663,,Unknown/Needs Review
175546-19,27.435,,74.24,,35.96666666666667,,Unknown/Needs Review
175591-2ggggg,49.64,,305.433,,36.35,,Unknown/Needs Review
175719-3opt,104.209,,126.285,,39.3,,Unknown/Needs Review
175728-2A,29.725,,239.241,,38.3,,Unknown/Needs Review
175729-111,29.114,,46.075,,35.016666666666666,,Unknown/Needs Review
175755-1iou,25.16,0.0056568542494942,42.0405,1.5054303371461557,70.33333333333334,1.979898987322326,Unknown/Needs Review
175821-999,27.274,,73.836,,34.95,,Unknown/Needs Review
175922-134,26.754,,76.977,,36.16666666666666,,Unknown/Needs Review
176062-123,23.76,,33.025,,34.65,,Unknown/Needs Review
176339-54444444A,28.057,,81.845,,35.28333333333333,,Unknown/Needs Review
176533°10A,27.735,,74.673,,35.43333333333333,,Unknown/Needs Review
176542-1099,27.601,,80.549,,36.333333333333336,,Unknown/Needs Review
176719-15bb,27.776,,79.554,,35.1,,Unknown/Needs Review
176765-1a,27.631,,42.978,,33.81666666666667,,Unknown/Needs Review
176829-9ttrttt,27.489,,79.393,,36.766666666666666,,Unknown/Needs Review
176854-888,27.46,,63.401,,33.38333333333333,,Unknown/Needs Review
176869-4zzz,46.546,,263.409,,25.9,,Unknown/Needs Review
176942-6,26.888,,69.527,,35.75,,Unknown/Needs Review
177073-111,25.879,,43.942,,31.4,,Unknown/Needs Review
177197-7aaaaaaa,27.243,,76.437,,33.766666666666666,,Unknown/Needs Review
177211-12ccccc,103.024,,126.25,,38.35,,Unknown/Needs Review
177211-6444,27.131,0.0,82.719,0.0,35.4,0.0,Unknown/Needs Review
177252-6,28.003,0.0,52.963,0.0,35.516666666666666,0.0,Unknown/Needs Review
177291-20,28.043,0.0,74.388,0.0,34.766666666666666,0.0,Unknown/Needs Review
177427-7,28.655,0.0,51.507,0.0,69.4,0.0,Unknown/Needs Review
177558-10qqqqq,27.143,0.0,73.679,0.0,35.53333333333333,0.0,Unknown/Needs Review
177593-2GGG,47.351,0.0,303.129,0.0,33.28333333333333,0.0,Unknown/Needs Review
177680-666,26.759,0.0,50.838,0.0,32.31666666666667,0.0,Unknown/Needs Review
177731-1212,27.154000000000003,0.0,54.77,0.0,32.416666666666664,0.0,Unknown/Needs Review
177750-10222,27.46,0.0,83.794,0.0,34.516666666666666,0.0,Unknown/Needs Review
177832-6a,29.337,0.0,66.5,0.0,33.416666666666664,0.0,Unknown/Needs Review
177952-6,27.785,0.0,70.418,0.0,34.11666666666667,0.0,Unknown/Needs Review
178607-1111,26.339,0.0,48.593,0.0,34.1,0.0,Unknown/Needs Review
178610-8vcx,28.062,0.0,82.494,0.0,36.0,0.0,Unknown/Needs Review
178706-12,27.778,0.0,77.345,0.0,67.78333333333333,0.0,Unknown/Needs Review
178738-1aaaaa,153.784,0.0,294.254,0.0,43.04999999999999,0.0,Unknown/Needs Review
178753-8qqqqq,27.147,0.0,85.41699999999999,0.0,32.81666666666667,0.0,Unknown/Needs Review
178915-11aaaaaa',28.229,,100.452,,35.71666666666667,,Unknown/Needs Review
178915-18a,27.863,0.0,76.345,0.0,34.46666666666667,0.0,Unknown/Needs Review
178948-111,27.094,,40.599,,35.05,,Unknown/Needs Review
178974-6a,27.59,,100.968,,33.75,,Unknown/Needs Review
178980-14,27.902,0.0,76.97,0.0,32.583333333333336,0.0,Unknown/Needs Review
179049=19qqqqq',28.043,0.0,104.789,0.0,34.7,0.0,Unknown/Needs Review
179081-8aaaa3,27.964,0.0,96.69599999999998,0.0,32.4,0.0,Unknown/Needs Review
179169-21 optimze,29.137,0.0513141584471859,88.752,14.549702009712384,34.69166666666666,0.953231762820984,Unknown/Needs Review
179317-6dddds,27.448,0.0,87.217,0.0,32.21666666666667,0.0,Unknown/Needs Review
179325-4eeeeer,27.9,0.0,75.651,0.0,35.46666666666667,0.0,Unknown/Needs Review
179362-1tfgvb,25.215,0.0,39.145,0.0,36.0,0.0,Unknown/Needs Review
179541-1qQQE,26.301,0.0,38.008,0.0,34.083333333333336,0.0,Unknown/Needs Review
179552-3a,25.176,0.0,126.057,0.0,32.016666666666666,0.0,Unknown/Needs Review
179934-9a,27.996,0.0,45.607,0.0,33.95,0.0,Unknown/Needs Review
179936-6 ez,28.883,0.0,111.634,0.0,33.666666666666664,0.0,Unknown/Needs Review
179963-11 ez,27.124,0.0,82.621,0.0,32.6,0.0,Unknown/Needs Review
179972-17ttstfg,26.891,0.0,79.033,0.0,34.18333333333333,0.0,Unknown/Needs Review
179974°8GUKHJ,29.348,0.0,109.671,0.0,27.566666666666663,0.0,Unknown/Needs Review
179974°8JILK,28.422,0.0,99.839,0.0,32.36666666666667,0.0,Unknown/Needs Review
180095_2A,99.017,0.0,121.212,0.0,38.71666666666667,0.0,Unknown/Needs Review
180129-4a,90.082,0.0,150.989,0.0,78.76666666666667,0.0,Unknown/Needs Review
180131-1spkopt,29.008,0.0,139.134,0.0,34.95,0.0,Unknown/Needs Review
180167-11,27.217,0.0,79.007,0.0,35.766666666666666,0.0,Unknown/Needs Review
180349--1qqqstu,139.07,0.0,283.689,0.0,24.433333333333334,0.0,Unknown/Needs Review
180769-14jjjjj,28.321,0.0,75.339,0.0,35.28333333333333,0.0,Unknown/Needs Review
180769-26rrrrrrpp,29.209,0.0,80.023,0.0,35.7,0.0,Unknown/Needs Review
181020-10,27.234,0.0,74.313,0.0,39.45,0.0,Unknown/Needs Review
181048-10 ez,27.225,0.0,82.783,0.0,34.95,0.0,Unknown/Needs Review
181241-13,26.929,0.0,71.679,0.0,37.1,0.0,Unknown/Needs Review
181241-32,27.672,0.0,81.928,0.0,34.733333333333334,0.0,Unknown/Needs Review
181250-44,29.974,2.767094360516099,141.1625,10.486148363436406,32.541666666666664,0.0273861278752596,Unknown/Needs Review
181260-31 ez,28.763,0.0,68.6,0.0,34.68333333333333,0.0,Unknown/Needs Review
181294-27 ez,27.814000000000004,0.0,145.182,0.0,35.31666666666667,0.0,Unknown/Needs Review
181307-1,28.19,0.0,73.904,0.0,36.0,0.0,Unknown/Needs Review
181599-38b,27.34,0.0,144.261,0.0,35.46666666666667,0.0,Unknown/Needs Review
181647-14444444cc,27.942,0.0,154.299,0.0,34.9,0.0,Unknown/Needs Review
181652-11,28.194,0.0,44.519,0.0,35.61666666666667,0.0,Unknown/Needs Review
181660-88,28.404,0.0,149.807,0.0,32.85,0.0,Unknown/Needs Review
181765-14,26.123,0.0,76.433,0.0,33.766666666666666,0.0,Unknown/Needs Review
181781-5 ez,26.284,0.0,155.556,0.0,33.88333333333333,0.0,Unknown/Needs Review
181928-32uuiiiui,24.152,,174.299,,72.08333333333333,,Unknown/Needs Review
182024=21tttyyuu,25.134,,148.631,,35.55,,Unknown/Needs Review
182077-18rrttr,26.832,,78.976,,33.06666666666667,,Unknown/Needs Review
182235-13xxx,28.728,,80.239,,33.2,,Unknown/Needs Review
182245-5hjhjhj,66.84,,282.572,,29.73333333333333,,Unknown/Needs Review
182281-18,27.228,,74.046,,33.583333333333336,,Unknown/Needs Review
