short_id,downtime_start_week,error_week,error_code,error_message,error_category,prior_error_week,prior_error_code,prior_error_message,prior_error_category
CPP01,2024-07-15,2024-07-08,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,,,,
CPP01,2024-07-22,2024-07-15,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,2024-07-08,69.0,err=( 69) no head communication err=( 69),Power Supply Issue
CPP01,2024-07-29,2024-07-15,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,2024-07-08,69.0,err=( 69) no head communication err=( 69),Power Supply Issue
CPP01,2024-08-05,2024-07-15,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,2024-07-08,69.0,err=( 69) no head communication err=( 69),Power Supply Issue
CPP01,2024-08-12,2024-07-15,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,2024-07-08,69.0,err=( 69) no head communication err=( 69),Power Supply Issue
CPP01,2024-08-19,2024-07-15,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,2024-07-08,69.0,err=( 69) no head communication err=( 69),Power Supply Issue
CPP01,2024-08-26,2024-08-19,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,2024-07-15,69.0,err=( 69) no head communication err=( 69),Power Supply Issue
CPP02,2024-07-01,2024-05-13,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,2024-05-06,148.0,err=( 148) calibration to do err=( 148),Calibration Issue
CPP02,2024-07-08,2024-05-13,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,2024-05-06,148.0,err=( 148) calibration to do err=( 148),Calibration Issue
CPP02,2024-07-15,2024-05-13,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,2024-05-06,148.0,err=( 148) calibration to do err=( 148),Calibration Issue
CPP02,2024-07-22,2024-05-13,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,2024-05-06,148.0,err=( 148) calibration to do err=( 148),Calibration Issue
CPP02,2024-07-29,2024-05-13,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,2024-05-06,148.0,err=( 148) calibration to do err=( 148),Calibration Issue
CPP02,2024-08-05,2024-05-13,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,2024-05-06,148.0,err=( 148) calibration to do err=( 148),Calibration Issue
CPP02,2024-08-12,2024-05-13,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,2024-05-06,148.0,err=( 148) calibration to do err=( 148),Calibration Issue
CPP02,2024-08-19,2024-05-13,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,2024-05-06,148.0,err=( 148) calibration to do err=( 148),Calibration Issue
CPP02,2024-08-26,2024-05-13,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,2024-05-06,148.0,err=( 148) calibration to do err=( 148),Calibration Issue
CPP02,2024-09-02,2024-05-13,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,2024-05-06,148.0,err=( 148) calibration to do err=( 148),Calibration Issue
CPP02,2024-09-09,2024-05-13,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,2024-05-06,148.0,err=( 148) calibration to do err=( 148),Calibration Issue
CPP02,2024-09-16,2024-05-13,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,2024-05-06,148.0,err=( 148) calibration to do err=( 148),Calibration Issue
CPP02,2024-11-04,2024-10-21,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,2024-05-13,69.0,err=( 69) no head communication err=( 69),Power Supply Issue
CPP02,2024-11-11,2024-10-21,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,2024-05-13,69.0,err=( 69) no head communication err=( 69),Power Supply Issue
CPP02,2024-11-18,2024-10-21,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,2024-05-13,69.0,err=( 69) no head communication err=( 69),Power Supply Issue
