instrument_type,short_id,downtime_start_week,downtime_end_week,error_week,test_count,error_count,critical_error_count,error_rate,critical_error_rate,error_code,error_message,error_category,is_critical
OptiCPP,CPP02,2024-07-01,2024-09-16,2024-05-06,53.0,1.0,1.0,0.0188679245283018,0.0188679245283018,148.0,err=( 148) calibration to do err=( 148),Calibration Issue,True
OptiCPP,CPP02,2024-07-01,2024-09-16,2024-05-13,41.0,1.0,1.0,0.024390243902439,0.024390243902439,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,True
OptiCPP,CPP03,2024-07-01,2024-09-02,2024-05-06,29.0,1.0,1.0,0.0344827586206896,0.0344827586206896,148.0,err=( 148) calibration to do err=( 148),Calibration Issue,True
OptiCPP,CPP03,2024-07-01,2024-09-02,2024-05-13,50.0,1.0,1.0,0.02,0.02,69.0,err=( 69) no head communication err=( 69),Power Supply Issue,True
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-23,37.0,17.0,7.0,0.4594594594594595,0.1891891891891892,26.0,initial boiling poin,Calibration Issue,True
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-23,37.0,17.0,7.0,0.4594594594594595,0.1891891891891892,29.0,door,Door Opened,False
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-23,37.0,17.0,7.0,0.4594594594594595,0.1891891891891892,26.0,initial boiling poin,Calibration Issue,True
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-23,37.0,17.0,7.0,0.4594594594594595,0.1891891891891892,29.0,door,Door Opened,False
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-23,37.0,17.0,7.0,0.4594594594594595,0.1891891891891892,26.0,initial boiling poin,Calibration Issue,True
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-23,37.0,17.0,7.0,0.4594594594594595,0.1891891891891892,29.0,door,Door Opened,False
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-23,37.0,17.0,7.0,0.4594594594594595,0.1891891891891892,30.0,distillation rate,Calibration Issue,False
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-23,37.0,17.0,7.0,0.4594594594594595,0.1891891891891892,0.0,fire,Safety Hazard,True
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-23,37.0,17.0,7.0,0.4594594594594595,0.1891891891891892,29.0,door,Door Opened,False
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-23,37.0,17.0,7.0,0.4594594594594595,0.1891891891891892,30.0,distillation rate,Calibration Issue,False
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-23,37.0,17.0,7.0,0.4594594594594595,0.1891891891891892,76.0,no error message,Unknown Issue,False
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-23,37.0,17.0,7.0,0.4594594594594595,0.1891891891891892,26.0,initial boiling poin,Calibration Issue,True
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-23,37.0,17.0,7.0,0.4594594594594595,0.1891891891891892,34.0,receiver seems not t,Process Issue,True
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-23,37.0,17.0,7.0,0.4594594594594595,0.1891891891891892,76.0,no error message,Unknown Issue,False
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-23,37.0,17.0,7.0,0.4594594594594595,0.1891891891891892,29.0,door,Door Opened,False
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-23,37.0,17.0,7.0,0.4594594594594595,0.1891891891891892,39.0,max. heating temp. r,Heating System Issue,True
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-23,37.0,17.0,7.0,0.4594594594594595,0.1891891891891892,29.0,door,Door Opened,False
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,21.0,drops per volume,Process Issue,True
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,70.0,condensertemp out of,Cooling System Issue,False
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,39.0,max. heating temp. r,Heating System Issue,True
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,26.0,initial boiling poin,Calibration Issue,True
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,70.0,condensertemp out of,Cooling System Issue,False
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,39.0,max. heating temp. r,Heating System Issue,True
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,29.0,door,Door Opened,False
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,70.0,condensertemp out of,Cooling System Issue,False
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,29.0,door,Door Opened,False
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,76.0,no error message,Unknown Issue,False
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,39.0,max. heating temp. r,Heating System Issue,True
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,39.0,max. heating temp. r,Heating System Issue,True
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,39.0,max. heating temp. r,Heating System Issue,True
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,76.0,no error message,Unknown Issue,False
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,70.0,condensertemp out of,Cooling System Issue,False
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,39.0,max. heating temp. r,Heating System Issue,True
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,0.0,fire,Safety Hazard,True
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,70.0,condensertemp out of,Cooling System Issue,False
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,39.0,max. heating temp. r,Heating System Issue,True
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,0.0,fire,Safety Hazard,True
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,70.0,condensertemp out of,Cooling System Issue,False
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,29.0,door,Door Opened,False
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,76.0,no error message,Unknown Issue,False
OptiDist,OD03,2023-11-13,2023-11-20,2023-10-30,44.0,24.0,12.0,0.5454545454545454,0.2727272727272727,39.0,max. heating temp. r,Heating System Issue,True
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,39.0,max. heating temp. r,Heating System Issue,True
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,30.0,distillation rate,Calibration Issue,False
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,76.0,no error message,Unknown Issue,False
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,26.0,initial boiling poin,Calibration Issue,True
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,29.0,door,Door Opened,False
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,38.0,vapor probe memory e,Process Issue,False
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,38.0,vapor probe memory e,Process Issue,False
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,26.0,initial boiling poin,Calibration Issue,True
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,0.0,fire,Safety Hazard,True
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,26.0,initial boiling poin,Calibration Issue,True
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,39.0,max. heating temp. r,Heating System Issue,True
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,40.0,max. heat. temp. rea,Heating System Issue,False
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,40.0,max. heat. temp. rea,Heating System Issue,False
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,40.0,max. heat. temp. rea,Heating System Issue,False
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,38.0,vapor probe memory e,Process Issue,False
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,33.0,check the heating bl,Heating System Issue,False
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,76.0,no error message,Unknown Issue,False
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,38.0,vapor probe memory e,Process Issue,False
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,26.0,initial boiling poin,Calibration Issue,True
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,0.0,fire,Safety Hazard,True
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,29.0,door,Door Opened,False
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,39.0,max. heating temp. r,Heating System Issue,True
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,38.0,vapor probe memory e,Process Issue,False
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,39.0,max. heating temp. r,Heating System Issue,True
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,26.0,initial boiling poin,Calibration Issue,True
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,76.0,no error message,Unknown Issue,False
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,39.0,max. heating temp. r,Heating System Issue,True
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,38.0,vapor probe memory e,Process Issue,False
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,40.0,max. heat. temp. rea,Heating System Issue,False
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,26.0,initial boiling poin,Calibration Issue,True
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,29.0,door,Door Opened,False
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,29.0,door,Door Opened,False
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,39.0,max. heating temp. r,Heating System Issue,True
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,40.0,max. heat. temp. rea,Heating System Issue,False
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,76.0,no error message,Unknown Issue,False
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,30.0,distillation rate,Calibration Issue,False
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,0.0,fire,Safety Hazard,True
OptiDist,OD04,2024-03-18,2024-03-18,2024-03-04,54.0,283.0,121.0,5.2407407407407405,2.240740740740741,39.0,max. heating temp. r,Heating System Issue,True
