merged_product,avg_ibp,avg_fbp,avg_t50
**4100 GOMK,279.4282857142857,357.0885714285714,336.0774285714286
10% BTMS,186.96349462365592,307.208,266.87967741935483
10% Residue,196.2448,314.5601416666667,272.75540416666666
106558-153a,68.563,135.578,118.88266666666668
107972-5 ez,40.589,123.459,106.1905
15647-1srvhi,30.288,147.298,75.16133333333333
17089-181x,35.335,131.419,91.444
171450-24a,153.897,218.874,187.272
171450-43a,29.964,137.51,79.21466666666667
171450-78a,23.209,163.374,103.571
171450-78opt,24.052111111111117,171.00155555555557,104.65733333333333
174586-999,27.413,75.614,46.68333333333334
174835-333333333,37.678,110.212,98.456
174869-25opt,36.013,128.974,65.136
174930-111111111,33.122,144.465,65.06066666666668
175019-2 bagels,46.431,314.609,168.174
175142-444,71.237,121.268,105.112
175154-2ttttttbb,33.399,126.167,67.211
175256-1010,27.073,76.052,46.717
175281-2800,27.461,81.787,47.333
175334-1a,27.165,47.319,42.593
175338-16A,61.301,139.704,107.013
175403-1GGGG,26.492,45.183,41.533
175430-25a,167.385,271.381,220.879
175458-21,27.682,78.21,47.075
175536-6 opt,26.68,49.209,41.391
175546-19,27.435,74.24,46.874
175591-2ggggg,49.64,305.433,178.639
175655-5 10%opt,43.584,147.614,86.917
175664-3,45.851,99.637,94.323
175707-5BAGEL,35.082,175.898,97.284
175707-6BAGEL,34.949,153.406,106.997
175719-3opt,104.209,126.285,125.74
175728-1a,181.66,278.192,230.521
175728-2A,29.725,239.241,161.761
175729-111,29.114,46.075,44.001
175730-1aaa,36.729,129.104,75.574
175755-1iou,25.16,42.0405,39.153
175821-999,27.274,73.836,46.69
175822-17a,35.3,133.656,65.381
175897-111,30.041,171.314,79.479
175922-134,26.754,76.977,46.063
176015-1B,38.385,152.404,87.655
176062-123,23.76,33.025,36.302
176323-19,57.807,81.398,74.64
176339-54444444A,28.057,81.845,49.244
176373-8rrrrrr,57.295,359.305,150.624
176378-3,40.094,145.596,77.996
176533°10A,27.735,74.673,47.484
176542-1099,27.601,80.549,47.821
176603-7uuuu,42.64,152.18,103.456
176611-37a,36.846,131.185,84.296
176612-14a,49.528000000000006,119.4185,92.9495
176704-54wewee,33.571,136.288,101.007
176719-15bb,27.776,79.554,47.78
176732-95aaaaaa,35.067,139.349,84.773
176756-112CCC,35.9975,175.704,96.9855
176756-3tttttttt,34.639,172.917,89.043
176756-99a,34.14566666666666,146.24033333333333,97.12333333333332
176760-26GGG,33.997,130.107,77.145
176765-1a,27.631,42.978,42.035
176767-21qqqqq,62.165,163.388,137.269
176791-2oooop,31.91,134.412,92.241
176800-6,35.494,176.721,122.702
176829-9ttrttt,27.489,79.393,47.658
176854-888,27.46,63.401,44.163
176869-4zzz,46.546,263.409,149.918
176871-777,60.543,121.281,93.724
176918-10,33.934,155.748,93.634
176942-6,26.888,69.527,45.657
176952-9tttttt,33.155,131.654,84.171
176952°26JJJ,33.777,147.496,81.99
176957-3,35.627,130.848,79.532
176991-20hhhhhh,156.03,235.697,200.096
176991=16tttttttt,154.457,237.22,198.85
177069-18 opt,32.368,153.522,83.867
177073-111,25.879,43.942,40.239
177190-6,60.025,114.796,93.024
177191-13a,33.598,89.8,56.311
177193-5yuuuuyuu,159.249,228.02,199.417
177197-7aaaaaaa,27.243,76.437,47.108
177211-12ccccc,103.024,126.25,125.221
177211-6444,27.131,82.719,48.032
177236-17opt,156.552,237.806,204.368
177236-21ggggg,157.658,237.75,204.851
177252-6,28.003,52.963,43.723
177259_7,43.169,149.768,91.133
177291-20,28.043,74.388,47.902
177322-27hhhhh,33.742,128.229,76.6748
177427-7,28.655,51.507,44.547
"177480-8;,llkkhk",222.481,341.676,288.256
177492-110dddd,35.102,140.417,99.6845
177492-111ddddd,35.242,137.662,98.1015
177492-20qqqqq,34.864,132.674,99.31525
177511+7EEEEE,185.408,314.746,254.6045
177558-10qqqqq,27.143,73.679,46.7748
177593-2GGG,47.351,303.129,168.45524999999998
177626-19ttrtr,93.484,168.216,135.79525
177640-1b,36.319,145.993,85.11
177680-666,26.759,50.838,42.14675
1777024-6eeeeeee,194.335,339.661,285.169
177712_5ddddd,185.726,319.997,255.7615
177730-6aaaa,39.924,145.891,95.5906
177731-1212,27.154000000000003,54.77,43.0542
177744-82b,58.045,145.391,112.157
177750-10222,27.46,83.794,49.206
177756-20,34.657,154.59,67.396
177766-1aaaaa,35.545,157.26,65.81
177811-4fff,35.508,149.422,81.15
177832-6a,29.337,66.5,47.3345
177843-6a,39.079,143.308,115.43525
177874-5,32.175,69.557,51.89
177952-6,27.785,70.418,48.843
178083-1a,35.149,134.081,85.73240000000001
178493-10GGG,36.551,147.075,96.373
178500-18rrrrr,191.704,342.183,285.555
178607-1111,26.339,48.593,41.7515
178610-8vcx,28.062,82.494,49.172666666666665
178643-9aaaa,40.277,145.613,74.26266666666668
178706-12,27.778,77.345,48.892
178738-1aaaaa,153.784,294.254,206.804
178753-8qqqqq,27.147,85.41699999999999,48.86266666666666
178761-6qqqq,190.547,316.413,260.64466666666664
178915-11aaaaaa',28.229,100.452,51.829
178915-18a,27.863,76.345,48.5932
178919-3bkkp,36.153,141.72,76.47133333333333
178931-6PPO,34.977,156.483,93.71533333333332
178948-111,27.094,40.599,41.337
178960-17aaa24,221.21,343.22700000000003,289.418
178974-6a,27.59,100.968,48.131
178980-14,27.902,76.97,48.87199999999999
179012-25a,51.716,152.034,95.516
179015-6a,39.377,128.022,86.556
179049=19qqqqq',28.043,104.789,48.85
179053-3ttttt;,31.829,158.54,85.657
1790640-4uuuu-,34.879,156.482,66.48
179081-8aaaa3,27.964,96.69599999999998,47.522
179100-4a,36.648,104.40500000000002,70.302
179109-21kjf,35.762,151.02,67.46225
179169-21 optimze,29.137,88.752,47.8545
179271-25qqqq3,39.665,142.087,84.27199999999999
179306-49,34.171,149.806,98.712
179317-6dddds,27.448,87.217,45.872
179325-4eeeeer,27.9,75.651,48.883
179328-6tttrf,33.557,120.862,64.162
179362-1tfgvb,25.215,39.145,38.7705
179368-2,31.514,161.584,110.893
179374-2111,30.527,99.853,53.17525
179398-27werdry,41.772,44.505,54.673333333333325
179398-2ertret,39.9,123.801,87.02
179398_16BBB,40.617,146.682,90.67533333333334
179412-19,37.197,163.258,103.95466666666664
179526-17ggggsfhc,33.787,127.699,65.984
