instrument_id,test_id,ibp,fbp,product
0aa8fd0d-019e-422b-bcfb-6f0803909220,36e1c62df2a8ba09618c96c312d5391ee5b82420db906dd2f5fab17c0b57cba8,48.943,143.906,350 cut
0aa8fd0d-019e-422b-bcfb-6f0803909220,679184c3e801595de7f618edc287e0d37147045a4a4b87d0f3f757ccbac58fda,92.753,127.453,350 cut
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,c10f94dfa27b7728ec01ef94a06ddeb9cd44f97f6d44772d2a1cf507fd75d972,60.281,150.589,350 cut
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,b2d63819b83bb31b30e071d9d334fd11de01304de52e6698c7090c4cfc1ac4c5,54.508,157.452,350 cut
b2ad9c3f-39e0-4613-b2cc-9c3085d1b8ba,5942d7c45feb5979403f28b22c711dd803e1741faa7cc0574d2df0c7f367f3c1,64.058,136.291,350 cut
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,8eae9354e5e08c0c62ccccda4b281ba52647118fa18075dc0ca53c71aa44e9b7,61.121,149.967,350 cut
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,910299fd210e46b80f7ff2fe9ddb31b6cd33cf9f88b457eafe683d6222194534,70.148,148.563,350 cut
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,4431729cf3ce8494b35036793ac5002b887c9cd5bb75b4244abfb8fa9c9bf88c,60.31,145.954,350 cut
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,000b21d018fbb6c19e8d8ac0f0fe316999f6378b0656fcb4be08a137c8bc8b32,63.558,151.742,350 cut
c0983ff3-7d72-4887-b98f-c6801a6c466d,51cf7ede0cccaf23e0bed5107e466e57b6c7a66bd95f5773d93ff3e5143b3e14,40.113,141.715,350 cut
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,3d5171b1c12d95fa3b885d82774113b0def9563b4db705994a53d1f703a790e9,60.66,141.712,350 cut
