instrument_id,test_id,ibp,fbp
7f33271c-1569-4840-a04c-8ad769055b74,c97680a16131845366680e3b089beb51df52ae6f6e4b525c59cfc5ea35f74525,37.077,136.19
7f33271c-1569-4840-a04c-8ad769055b74,fd504fb616b89524faf4bb874671e63eff7e683bcb04357e7c204887ba843db8,42.972,134.466
7f33271c-1569-4840-a04c-8ad769055b74,3a9c8af175e03b54b41505617f8be219a2ab4f928d0fc1921526aa99293685cc,38.606,159.558
7f33271c-1569-4840-a04c-8ad769055b74,edf7248046339e4303711571cf0ced13540ad4a2cd90324402b6ac8579c4a0a9,48.972,152.616
7f33271c-1569-4840-a04c-8ad769055b74,321645317a0a436c47f918c171f6fdca3bf9c779e7bd53e06da9f09f768d313c,38.539,155.315
2ed1d374-7800-48a8-9a5e-dca96443823a,6f032745073b6728231089bc5931932e373070115f573e1d9cd8d45d427e25ea,35.355,150.82
2ed1d374-7800-48a8-9a5e-dca96443823a,2c350fd57b3ef98387091f145c0aadef3c0d2818396c5f28bf0d8df5095a0e36,27.767,100.871
2ed1d374-7800-48a8-9a5e-dca96443823a,f000814eb119a8161b1f77f0a9a1346e01a8cc43e17d72e98e989f5adb47b245,27.157,70.341
2ed1d374-7800-48a8-9a5e-dca96443823a,2a5e5917b29b76f871de4ee773f09178f7b9bc9cabd699ce2547e9198dccaa25,37.054,142.644
92326ee8-3704-4d95-860a-288c627e35f7,df69c3a248e294b3a8f772f4eb9eb1539cc198ae215fc796f0587478f24ca981,41.697,127.878
92326ee8-3704-4d95-860a-288c627e35f7,4670a42aed7eff44f719bae046aa3a04cb07f5a01ada4874b449a5fbf3c0733e,44.497,156.268
0aa8fd0d-019e-422b-bcfb-6f0803909220,3d71c44c56cb2d2a4e26895c00070647a0a6dd1fdec89d7f9cf62c5cc91201f6,30.28,144.596
92326ee8-3704-4d95-860a-288c627e35f7,c60c71bc67583302c69a1166f2ab322acdff928810408b54205cd07a480c5ceb,43.167,126.388
2618baab-9161-4b0e-a67a-5a0be28e71ff,23516d5be818f309a0a5d3937e0b67d83052a1847d811aa5a49bcba9540d11f6,39.335,121.251
2618baab-9161-4b0e-a67a-5a0be28e71ff,bfef9ef70c77d8f677078276c96136b9ba33289e9a3870891b1c28204e44d5aa,41.292,132.53
62548191-5d9a-41c7-aae5-5788aec74ee4,a3cd6c129c17070ca213140e78df9a9764f9ee692c2681e8e79b4a9ebb828d4d,39.345,159.548
0aa8fd0d-019e-422b-bcfb-6f0803909220,6f42b6022926a6af3ce2d864d98e406557e8329e50e2ff4f750f9b5c218665a8,33.353,154.559
2618baab-9161-4b0e-a67a-5a0be28e71ff,42dc38f500163293ac567b8d9630d12b4d6221830d6b87aa7e665414a8ff4816,43.723,174.823
62548191-5d9a-41c7-aae5-5788aec74ee4,b89421ddf824e6a4ac23c9e50179d70d14f98801b6b8f9f147f57f9615df22ba,43.591,130.277
2ed1d374-7800-48a8-9a5e-dca96443823a,6ef8e71181d749411ce88a464ff86a20bfe514d7eb374a8526e2f9d8b832d1cb,97.711,97.995
2ed1d374-7800-48a8-9a5e-dca96443823a,65301af62cc6613685efb05fec8c22b1e078095ed8f013999a6d2c8db696f39f,97.578,97.754
92326ee8-3704-4d95-860a-288c627e35f7,ba8f61c659ce8273e19c333296aa780b8bd0b1a655addacebcd7cdde75a91978,99.716,141.148
92326ee8-3704-4d95-860a-288c627e35f7,3568e10b15a406e41cabc705cc736be521e4e22a0583b7342a952a3d55eef87f,44.596,165.286
92326ee8-3704-4d95-860a-288c627e35f7,3d8f2a313a87699fd990fa5b8551145b6c61eb6dd3938a2e2ff1764218f08c96,42.71,133.739
c0983ff3-7d72-4887-b98f-c6801a6c466d,6665a6ee87fcc00191c666e042121eed7666c57821a624d6456a3f3e10615577,58.817,91.0
92326ee8-3704-4d95-860a-288c627e35f7,93739e92e3f428e5229c01416b4c0ac09352dba3fa1b2d621cc8469360c31c4d,41.868,161.911
1114da92-0859-4dfb-a363-26447dc0f84d,a7485a2928a7429c63e5381e0975f0f29d0286b267da9547654a732392f5054e,43.14,169.009
1114da92-0859-4dfb-a363-26447dc0f84d,801e16de1b7669d1106d43c428c8244608d186cb560405a54a2af3a3b853724c,45.143,127.392
62548191-5d9a-41c7-aae5-5788aec74ee4,50539f335f6392d295c3efa02258e71df83c402b98c3b1bb81c258fbff191a4f,65.645,179.861
1114da92-0859-4dfb-a363-26447dc0f84d,e6546752088f53856ad56e2b90add6489cf69420abefada87e2c358f07151a32,47.47,170.626
2618baab-9161-4b0e-a67a-5a0be28e71ff,5ce42b5281f9b8cad4f221df9ee50f3636611954739a87ee1371db09e01513f6,41.362,121.135
1114da92-0859-4dfb-a363-26447dc0f84d,585090f8c92b4de62e5579f2c2cc6f143d3e6bc37d106a96da84f3435cce97d6,105.998,153.479
