instrument_id,test_id,ibp,fbp,product
d1786860-8805-4192-af2b-a6f12832ac56,33abc328a56a1b0b8e17de0381cfd9b9d00412a03c4d6f1ac497b878a707022b,32.408,140.474,AUTO G1+G2 EVAP
d1786860-8805-4192-af2b-a6f12832ac56,943e843e26014ad9f4533aa5fd1ceed68c15a0608a3716badd7f3da344052b8e,33.234,129.145,AUTO G1+G2 EVAP
d1786860-8805-4192-af2b-a6f12832ac56,be8f3eba6ef85fff2dce65ebea86da40931954438fabf756012786418c861221,121.871,129.802,AUTO G1+G2 EVAP
d1786860-8805-4192-af2b-a6f12832ac56,e32c34166a0b58dfb34678764e86834f579c809920b9bc97a0d2711d26dfdab5,37.166,154.892,AUTO G1+G2 EVAP
d1786860-8805-4192-af2b-a6f12832ac56,3ad28d7d2d0fa5544a11ba41e6797a8ef740538f0bce136c3f7a48e1be852429,36.931,155.211,AUTO G1+G2 EVAP
d1786860-8805-4192-af2b-a6f12832ac56,985152b778308996083972d99322269d3e4924081d68c80792b06032a1e60b4c,33.523,124.718,AUTO G1+G2 EVAP
d1786860-8805-4192-af2b-a6f12832ac56,624fd7f77a519f83596ffaf2a680947f172bae1bc7d10751735ec55c8b59d197,33.252,126.374,AUTO G1+G2 EVAP
d1786860-8805-4192-af2b-a6f12832ac56,772704dda397fe1a3da3cb61f3f6585098c029108e2fbd117e60fafb17ea38a5,42.452,155.142,AUTO G1+G2 EVAP
d1786860-8805-4192-af2b-a6f12832ac56,76860204f92511fc5f3f0ec6de5479db50557763118247de0149968973980f1c,31.217,129.045,AUTO G1+G2 EVAP
d1786860-8805-4192-af2b-a6f12832ac56,5351f7f23f8b55b3c1aeb3db538f899401ac41488c7347b186ddf27ff046abc0,42.991,138.572,AUTO G1+G2 EVAP
d1786860-8805-4192-af2b-a6f12832ac56,6e4354d7c3ac942c94ea8d924bd6d3c1c1c770b0718bfd372c2b18ac76394e0f,41.054,145.906,AUTO G1+G2 EVAP
d1786860-8805-4192-af2b-a6f12832ac56,124dc3b39434c71f198a6f0d9d6a22cc310b5e37e38a0064c47eafc05464d7b5,42.763,146.576,AUTO G1+G2 EVAP
0889e4ec-1473-4d57-a5cb-df61853edf03,711f90bc972022ec13d2554b15f7635940679ecc5b33da058add4ac1d7d687ee,38.172,115.967,AUTO G1+G2 EVAP
0889e4ec-1473-4d57-a5cb-df61853edf03,0f9e67544745257856c8b4f553db6f8d67b3db38bbfc44d9986330df27974bd2,35.383,158.838,AUTO G1+G2 EVAP
d1786860-8805-4192-af2b-a6f12832ac56,d8b448ac3f111a046eabc792acfdd28e7bb1a22217f6da5d3818e78b021fbd99,41.464,147.32,AUTO G1+G2 EVAP
d1786860-8805-4192-af2b-a6f12832ac56,4bc0cd64496a7b0ea6d3293084a18f9f525a6cfea48e23f5f42cd7d6d9a3e606,33.116,137.78,AUTO G1+G2 EVAP
d1786860-8805-4192-af2b-a6f12832ac56,28bafabe5561674f7495ac0fdae139f265c8742c666b5186c1d26128164d570c,35.227,147.715,AUTO G1+G2 EVAP
d1786860-8805-4192-af2b-a6f12832ac56,26ada3ca7c7b8e183b2d6492de28a4c4c3706cccb93bcd03c349badd64514e7b,32.873,135.977,AUTO G1+G2 EVAP
d1786860-8805-4192-af2b-a6f12832ac56,c50fe06bd840b4dced0ec636908d72c60c38c46140020e2b151e4464feb20635,35.846,149.207,AUTO G1+G2 EVAP
d1786860-8805-4192-af2b-a6f12832ac56,a1961546be4ea8c926a8446ff3a6d3ad3600687c752daffad244379fd92269e4,32.794,137.425,AUTO G1+G2 EVAP
0889e4ec-1473-4d57-a5cb-df61853edf03,33a7b99725a8adfa44d11d43fcdd32acb0ca3d070f904477c37db0040a279922,32.36,134.567,AUTO G1+G2 EVAP
