instrument_id,test_id,ibp,fbp,product
7f33271c-1569-4840-a04c-8ad769055b74,bc23d528b41c71c01a515a32ab33ea40424686498398b60729c94e7d7bea7a18,158.605,219.6,AUTO G3
7f33271c-1569-4840-a04c-8ad769055b74,23e3eb2ed53998cb3c58fe96ece64c8c59b924b02d4c263ccf058d5915d7bc38,154.071,218.049,AUTO G3
7f33271c-1569-4840-a04c-8ad769055b74,12fcdf734b283329567f00c2a41acd2f2d521968bbffaf97d37cb1ecc171bc06,166.814,229.602,AUTO G3
2ed1d374-7800-48a8-9a5e-dca96443823a,65cf99756cb1a20b0d4c86377e4771ca22515751dd233d10a09c93a9936aa1ed,75.981,112.208,AUTO G3
2ed1d374-7800-48a8-9a5e-dca96443823a,fd7d0fac420b685776a3beef433b06b7d14f9cbea999537b04fa64654f94ad7c,97.56,97.772,AUTO G3
62548191-5d9a-41c7-aae5-5788aec74ee4,f4800be92068c1198e87a58618921db426c1a4bebbc4c46cdca243ae77edd78f,168.626,241.256,AUTO G3
62548191-5d9a-41c7-aae5-5788aec74ee4,e46b23c183147be91523888e6bfbc4ca836e8c724cee7a37cdbb4defa092ee9b,162.571,226.382,AUTO G3
92326ee8-3704-4d95-860a-288c627e35f7,e8a0c9c0fc72b1043dd989b3ccf7cea6bcbbeffe40853f9283356e3b2d6a1047,154.496,230.476,AUTO G3
92326ee8-3704-4d95-860a-288c627e35f7,26cd2bcefec4338351f28b697c8ad2e542ae3098f194d24044132a9740a2e4aa,158.422,230.182,AUTO G3
1114da92-0859-4dfb-a363-26447dc0f84d,6706e7a77ead75c6ed6d145b7becf13aa91eb89a4f24d8e50d459fd5c1312cd6,155.082,234.009,AUTO G3
92326ee8-3704-4d95-860a-288c627e35f7,75687aab91b8fdcf3ac1d71573aa80e3ef22270f5afb8fcf444aabfac129aed1,152.929,230.465,AUTO G3
d1786860-8805-4192-af2b-a6f12832ac56,759e9d7e058a96984b5911083b9d3c308d5e70fabf5f5b80fd077d48a977d84b,96.751,170.229,AUTO G3
c0983ff3-7d72-4887-b98f-c6801a6c466d,01b29bc608daafdd210439a5a338848360c7538ed2fa691097c19b6847edacfe,150.64,227.612,AUTO G3
0aa8fd0d-019e-422b-bcfb-6f0803909220,3b1408f9408879181c2a1e3067596e1c1691c6186507d3c77a4e6935d765c96a,153.209,231.789,AUTO G3
0aa8fd0d-019e-422b-bcfb-6f0803909220,fc62b0b9ebd681d28f7ced6edc4086a8d5ee0387fd3df8dca96e4b130cd28d8d,153.361,231.456,AUTO G3
0aa8fd0d-019e-422b-bcfb-6f0803909220,a49f56653d86c08098c0feacfc648f10d3fa1558cdb6955d4b8516b0aea9999c,155.146,228.819,AUTO G3
0aa8fd0d-019e-422b-bcfb-6f0803909220,f0695a342c676987ddb7cbb988e80e59acaa53fd849e1cc9fc48771f49f2732c,154.21,230.351,AUTO G3
0aa8fd0d-019e-422b-bcfb-6f0803909220,e1092f83a1e127f13e4541c10e060a31a66d42116a86ec06c4bd02131374a5cb,152.322,228.905,AUTO G3
0aa8fd0d-019e-422b-bcfb-6f0803909220,c83355ac001d4042e9f66c2f4f954c669a7088e05bcac26e0af553ebaca07d42,152.814,229.115,AUTO G3
0aa8fd0d-019e-422b-bcfb-6f0803909220,4b5df923941f5c59de61a1952d8ae50ccd1e656638b3ddf317533611e944ef6c,153.707,235.336,AUTO G3
0aa8fd0d-019e-422b-bcfb-6f0803909220,54f44da0f25c44d609583be33b4320d555c86bf6987709e94c3805710137cf38,153.105,228.798,AUTO G3
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,9d33f4f77679be17627c8087d8d3bf4ee0628ea985dffba9837223d774844e1a,154.201,230.946,AUTO G3
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,3c0bf2e31b7f4874427c9623991268644aa86614895df6d9f3fa7eb7caf4a9ed,154.382,230.64,AUTO G3
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,e58aa7c60aa6c029c48660c56d21a239056c46c0952be976c0ab8463fb27762f,155.265,230.532,AUTO G3
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,a0e6fe14354635086dcd2688fb72c4e97a8aab94417c1ee526be4be1d57cba5a,153.893,231.076,AUTO G3
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,06a7c5f2ccb314f6990f0a32d43bd24fefd234f10c8602375191a73f745501cb,151.397,229.896,AUTO G3
5064f4b6-85f1-41d9-8562-ae9948202868,dac6a9fca88af04abc9dc924ba7ca21da1dd7275c21a1e99092dc2f1b476f5e3,160.268,226.05,AUTO G3
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,0a32bbce31240f6d3c3c3fe01a27ccb25a74d481c4ff326b535fb7fe5ef6967e,149.404,236.74,AUTO G3
5064f4b6-85f1-41d9-8562-ae9948202868,9151e2768168ee713bfc7798525648904c147558b9ad611b4da17829ce705d86,159.724,220.757,AUTO G3
d1786860-8805-4192-af2b-a6f12832ac56,32dad70721b4bb4d5a89df1c53bc2a012990b58886f9ba43ea8a71d224b06694,41.866,302.204,AUTO G3
1114da92-0859-4dfb-a363-26447dc0f84d,945b0515ad2929e211a2d82c4bf90db6471870b0173cd5a1e4cd3b07837b7f86,156.832,232.206,AUTO G3
2618baab-9161-4b0e-a67a-5a0be28e71ff,01d79645904df6d20926cf1a022dab39566c9451bc153d76e541a8cfbc64d786,156.132,232.321,AUTO G3
0aa8fd0d-019e-422b-bcfb-6f0803909220,955cd59dbb8c47da94c3e5ecfaa86efe6ed3b46b49f5035322c2b54f2077b3aa,150.157,235.459,AUTO G3
0aa8fd0d-019e-422b-bcfb-6f0803909220,4f0eca4d744c48da029e7bf86647063648bbf428501d589505599d4bac6d251c,148.542,244.497,AUTO G3
0aa8fd0d-019e-422b-bcfb-6f0803909220,640315b75e7486d13fbc90e44e46f77c0cfa68a272d283420cc4e7f878096fde,151.682,235.113,AUTO G3
0aa8fd0d-019e-422b-bcfb-6f0803909220,4caac21414f473c640f4d3d6a2bc3b008817f56652a7de14acac3e28bc1f967e,150.871,233.792,AUTO G3
0aa8fd0d-019e-422b-bcfb-6f0803909220,0fc76802e6a907d53082e11a0067e1f9d0a2d1c179c03de979dc4b6b085dd77c,152.079,234.79,AUTO G3
0aa8fd0d-019e-422b-bcfb-6f0803909220,e749eb547711b8786f6b819eb8639b2dacd03e3e92d658635e425d1050297472,149.991,241.904,AUTO G3
0aa8fd0d-019e-422b-bcfb-6f0803909220,04b93fa8997907069867ff3cb98b8ec5eaebc78c004618eb151ed15723a4e1e2,150.896,233.375,AUTO G3
0aa8fd0d-019e-422b-bcfb-6f0803909220,507e7a080b80a262cea4bcc44942027912b34ba252c6b20cbaacd197bb111980,151.797,241.882,AUTO G3
0aa8fd0d-019e-422b-bcfb-6f0803909220,fffb84f7add8ca19826c4a02b1f2e02fcce04744ce252063fe0545afdccbc4da,149.789,243.242,AUTO G3
