instrument_id,test_id,ibp,fbp,product
2ed1d374-7800-48a8-9a5e-dca96443823a,30ed49a1088d014ea34bc7629b735e274a8fffcba42bdf1acc6dc27c65adb86a,42.106,151.593,CAMIN GAS DQC
2ed1d374-7800-48a8-9a5e-dca96443823a,7c57c267e0a98932904cf4124991c2b8a6530bcbfce75486bfd48bfc3ff3f790,42.106,151.593,CAMIN GAS DQC
2ed1d374-7800-48a8-9a5e-dca96443823a,0a4584e352770f9b34b164139a0e70cd2eb0a2e07aefa317933f0cf991a2c426,42.349,151.73,CAMIN GAS DQC
2ed1d374-7800-48a8-9a5e-dca96443823a,11bcf978dac4dcd533f82ed01b70bc892f580deeeb19c2b01346d127815670c0,42.106,151.593,CAMIN GAS DQC
2ed1d374-7800-48a8-9a5e-dca96443823a,52a048fa2a945920cc0c385f91e267a1a2b0f92a0d49bb1624fb25186f3ab2bf,42.349,151.73,CAMIN GAS DQC
2ed1d374-7800-48a8-9a5e-dca96443823a,6fab4a339db53439ed9a6a8f4a6024c64dac1383b43b11e71f9c4ef6d23ac492,42.391,150.768,CAMIN GAS DQC
2ed1d374-7800-48a8-9a5e-dca96443823a,8ae8d851becbcc79ebfec90c24dd0a0ef087ba739d9041db008fda6df7bfc5cf,42.349,151.73,CAMIN GAS DQC
2ed1d374-7800-48a8-9a5e-dca96443823a,2afceafbf402abc917a19b7e8f2925f7fde5a508a57a40d2449978d2151af2ce,42.106,151.593,CAMIN GAS DQC
2ed1d374-7800-48a8-9a5e-dca96443823a,f7a78c315237a0df562edaeee4b2b5f068ef498b117849b8414bc0ba20f442cd,42.41,151.352,CAMIN GAS DQC
2ed1d374-7800-48a8-9a5e-dca96443823a,813ad7283fb4aa48e066e4f6433a679c475f703afeefccad4bde97ac5fa85210,42.106,151.593,CAMIN GAS DQC
2ed1d374-7800-48a8-9a5e-dca96443823a,f731d733932c908a61b3eb2fcfd8e9d73fa5a34730af8c196eb43e2207343ed1,42.349,151.73,CAMIN GAS DQC
2ed1d374-7800-48a8-9a5e-dca96443823a,9cedc9b08749aac2d097414516c7b6205d3d5f0da40e82ae13c2795adfc69847,42.349,151.73,CAMIN GAS DQC
e1326398-e01a-445f-9caa-c175da8ac7d3,c15677d9ba88eb5374998b11458f340d4343b4e2dcf3bc456c70e97092c7da65,44.097,153.451,CAMIN GAS DQC
2ed1d374-7800-48a8-9a5e-dca96443823a,a35e69a229382fc3a7b9b6d7f94b92e22fb172f9cf983eee7a33d311a61c4906,43.368,154.172,CAMIN GAS DQC
2ed1d374-7800-48a8-9a5e-dca96443823a,99fc2332d0810ad1fde1307f0757bb01898849eb9f97c885113bb3dd65a9addc,42.106,151.593,CAMIN GAS DQC
2ed1d374-7800-48a8-9a5e-dca96443823a,bc903fb5761ec6997f734ba0c3918ba6c10897dd58469f8ddd6f9b2773dc89ea,42.106,151.593,CAMIN GAS DQC
