instrument_id,test_id,ibp,fbp,product
c0983ff3-7d72-4887-b98f-c6801a6c466d,0bcaf19ccb8e0e4345091e534ae7c8c4b9d46c3f6d3b0cc39a03e3618de2cf1d,60.275,380.324,CRUDE INV
0aa8fd0d-019e-422b-bcfb-6f0803909220,dd5ab87863eae164e00425b36fe3ee47a401cf1215af29d95712fcc9f05a07eb,62.411,360.964,CRUDE INV
0aa8fd0d-019e-422b-bcfb-6f0803909220,a347546fc6da36d2ae7e3c6760a9b916acc7e9b5359e9317af2cebe889687270,53.755,376.706,CRUDE INV
0aa8fd0d-019e-422b-bcfb-6f0803909220,51bfb5a818519edc5a757e6b5765945585e014d927b169441037ed86d219ff41,56.969,380.444,CRUDE INV
0aa8fd0d-019e-422b-bcfb-6f0803909220,b9553bcb14ac79a389a8c02cbcf975c366f9f32ce1d12f383b6f541531d0108e,59.343,378.334,CRUDE INV
0aa8fd0d-019e-422b-bcfb-6f0803909220,3c042066035cbfa0190bb41683178ff244993cd728870ac6a64d1d3b0b2fb6ca,61.536,358.914,CRUDE INV
b2ad9c3f-39e0-4613-b2cc-9c3085d1b8ba,824d1434ba41a2ce93cf7a933c536b976d282f17e618997b20ab5ccd29afc7a8,54.572,380.017,CRUDE INV
0aa8fd0d-019e-422b-bcfb-6f0803909220,7df96d1d27f072948a5281b964c88203854c938dcad5eb00cc78b7763e31cc17,55.911,377.726,CRUDE INV
0aa8fd0d-019e-422b-bcfb-6f0803909220,d2683703e67a4a0bb433691ff0ad9027e877ad1c69319be002315466e16f64e0,54.432,379.589,CRUDE INV
0aa8fd0d-019e-422b-bcfb-6f0803909220,9f334d9ba21c9659b4576c15854dc1abad6c7dd656d1c8799f990e7bb7047a17,67.012,111.796,CRUDE INV
0aa8fd0d-019e-422b-bcfb-6f0803909220,4d1258eb525ae08368b90ad43d63ab321cbcc89ab524b67f144a2ec9bc73d327,64.287,363.496,CRUDE INV
0aa8fd0d-019e-422b-bcfb-6f0803909220,89037beeb936708036abe3fdd4c5bc3b8c6d9a09e0b7cfe165c04e542b5b6835,58.808,362.147,CRUDE INV
0aa8fd0d-019e-422b-bcfb-6f0803909220,bd0b01328811ac3b43c74361757b347ded592b1f0ecd3c73339fd1085dc6f7d1,57.973,380.309,CRUDE INV
b2ad9c3f-39e0-4613-b2cc-9c3085d1b8ba,397849644817c074e51350c8d3f9c2235dea429dc026a9d9a8add5f0eaa37db2,59.853,282.101,CRUDE INV
0aa8fd0d-019e-422b-bcfb-6f0803909220,a79dcfd97853f0815b23300a0a16ce976ba6da5be6826316269324b7d716e703,59.498,359.191,CRUDE INV
0aa8fd0d-019e-422b-bcfb-6f0803909220,20e875194b09e70b1d855ce558690a134323854753d3d50aecc3bca3593717ab,60.095,384.346,CRUDE INV
0aa8fd0d-019e-422b-bcfb-6f0803909220,54d0b291e8f7fe5753c09b1deec7c914cc5d687dda2e56733fd2250543b801a2,62.884,356.581,CRUDE INV
0aa8fd0d-019e-422b-bcfb-6f0803909220,ccce400d43b53eca57dc1610bfc1234cfc777d96f675f7619dd11b86c181ae1c,49.704,325.86,CRUDE INV
0aa8fd0d-019e-422b-bcfb-6f0803909220,ace51fe02fbe430a815fd52b29bf1a8a7cd4e72d242b783b4399a0461acd2990,58.12,380.513,CRUDE INV
0aa8fd0d-019e-422b-bcfb-6f0803909220,117ee5bf9228bb761f59db2a40f37c3391a36dc0aa85a9f34def847a5ff5a104,58.057,382.242,CRUDE INV
0aa8fd0d-019e-422b-bcfb-6f0803909220,92957666e4b66012f94b5b4dea6b3fb3e7eb9687702a9cbd09fbee959420ddec,57.423,378.647,CRUDE INV
0aa8fd0d-019e-422b-bcfb-6f0803909220,1f62d7d2a549507cff9ff29466d5d923d6100612e549df0a4c415ff6c8c2cc21,59.552,384.591,CRUDE INV
0aa8fd0d-019e-422b-bcfb-6f0803909220,55d58df1cb00871e7ed4d5fc55b18fb0e5cd44370a07d9935c904a86e628e368,61.696,385.857,CRUDE INV
0aa8fd0d-019e-422b-bcfb-6f0803909220,55944bed028d0e2502d6c4664fea1fe25702f2ecc86b6c42f8dcc03834b3f364,57.768,384.903,CRUDE INV
