instrument_id,test_id,ibp,fbp,product
2ed1d374-7800-48a8-9a5e-dca96443823a,7f29f0b987026f8c284fefa36fb6b7a1441dcd9caad662770240e0d46f088bc8,186.946,306.761,DIESEL QC
2ed1d374-7800-48a8-9a5e-dca96443823a,7908eb57547155a1245588e8b8b3b5f8ce93ee63e67667cdd915ea09711b0403,187.399,309.051,DIESEL QC
d1786860-8805-4192-af2b-a6f12832ac56,5e56b879129bb8cd1fb24fe559a50b9bb3331c1d6614bcdd8f60ea7723bae010,183.679,306.793,DIESEL QC
d1786860-8805-4192-af2b-a6f12832ac56,4fae1448676b6344319375e6e50a38384203cdc1099845f36e93472283dad620,185.202,306.263,DIESEL QC
2ed1d374-7800-48a8-9a5e-dca96443823a,b1ea1282d4819c0a96a35c77a79e822de4435170f40695cb90d41fc2284caaef,189.352,301.456,DIESEL QC
2ed1d374-7800-48a8-9a5e-dca96443823a,cc7c859984e53e859a53851e179893faeed5c6ecefafa35a88e82bcf81b3304f,186.951,309.167,DIESEL QC
d1786860-8805-4192-af2b-a6f12832ac56,f717287a493ebbb4ed0b577cf6f0bbc24a59f412e21766f38a5a84c7daa85705,187.347,308.002,DIESEL QC
2ed1d374-7800-48a8-9a5e-dca96443823a,b5073732b06b63d31a7f9076f1ad0934d17b26eb2648498d9fea89d535626bda,186.946,306.761,DIESEL QC
d1786860-8805-4192-af2b-a6f12832ac56,be49db041daa63fd9f44cd335e45f03bcae9234879f09d9b9dad3d84777ed853,183.519,306.566,DIESEL QC
2ed1d374-7800-48a8-9a5e-dca96443823a,477de9a5fc91f333f461d23b755af0f3422a2e31b98108eeb89c9ca9b4f64e3c,186.946,306.761,DIESEL QC
2ed1d374-7800-48a8-9a5e-dca96443823a,c3c61025123b3af8fb1fc99d781296f9afbfa0a8c73ba363280da42e988e5400,187.137,307.852,DIESEL QC
d1786860-8805-4192-af2b-a6f12832ac56,503e457b4fdbad44520d7a25469ab28d9802f833cf3332ad9f19f0ca144fef67,183.439,306.379,DIESEL QC
2ed1d374-7800-48a8-9a5e-dca96443823a,292773e5c76f0b8d86c054b56dd88c9d996b5ea072997136a67e17966b979727,186.946,306.761,DIESEL QC
