instrument_id,test_id,ibp,fbp
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,9677b856c8d62d67f4169dd68db2b0f43c9a3072b7ad21a57ebf7736efbacb50,41.827,124.862
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,291a598cdf0082565de4421265d1818a1e24da5fedef6816792d119737898a8e,27.901,76.349
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,1963cfd1d89a793198469e3ec711bb46043ddf743df6b8491ceb3255fe6a612c,44.883,113.184
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,d0be27dce5d67cbcf6d5ff8b8cf8d5d03bf4d57d20b35d5b6fa61e94c581639d,36.574,110.151
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,0aa09badf6e009e9f301d67cf59b053a8a2b732342b566c09a32b238bf95729a,34.487,295.023
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,323c5fbd5417d14eeb14ea0e8723dfcd92a8f1fd0a61dfab6c36f33ef2dd0fec,35.116,135.46
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,9b8fc0dddf4aa1809ea4915471f60170868452205eae5146d9b59644ef599f75,66.097,123.929
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,c4bb8d2c2f8c9543f0b1c9a8bdd47453d2037a6d522dfb5ebbdb17e6983a0bc3,36.735,164.748
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,83f80628b9e45a8fea6d93c6c392d68f83488a0d96fbb626a6e038cc32156ad3,39.957,141.213
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,07d40dd15d9cfcfeec99b75facb49162f65d003c300e9554000bce1efc527eef,65.872,101.591
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,bb89ed06f7bfd94ccba32d73e793ee89a417cf8dfa3a04354b1cf41834da5237,63.814,114.195
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,119b936e31c34340d9fde16070718c2d3a4d38d32b786a1fea1e7c4b5967bfcb,29.899,148.353
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,f89fb6cfd949644b6923ce4b481a104c6b03647307838d02b2130b9beddf4135,32.291,151.846
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,14e2bee4c766436b2ffdec408045d1c359ffa2b851d68beecca06ddeb88516fb,32.595,150.843
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,4c87f80db8f2c54df0eacbdbbd7c3053dade928ec26dfc8059e0e61ef0ecfd84,35.18,136.37
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,f331bec3221c5fba4d05da17c076b6d512aa6df69aa44e6c33e09325e8cc7f95,48.252,136.173
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,65c0a9206bec20ba8944e3168b46fb4f0000561e2faa09a11806b5e8fc175a12,35.515,40.392
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,cf738c8040c5e2f61f7d9c7ea013c84670c9682f90b1425bc72efa390f1b254b,37.221,133.93
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,18253e7e57dd6b75eea54070040f6943c809b368d5d34cb2bbb0a417a96bcd79,35.47,147.095
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,901d588f6b3a11745250d363574836b2de6056bc7db2213a1cbc7b71570bf358,46.185,173.356
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,d17ec610eba3090e678e4464ee769c33b6b1d7b45a971df61a31ab7469304b15,49.162,159.215
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,858ab0d7fc760e1d87dd8004f259274c588009e7862557a84d55839fe06cc0a2,33.052,140.162
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,5ae9f332e6a2f70d99fff6225c20672d1712440084aef39e69213b695a1c92bc,47.017,166.405
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,a4cf83cd4683d281b513e3e001597573abef312be47fb78ff0d9b0141c8504c3,27.114,71.977
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,7bb302ab6569351e057a5e3436dd28ff7f6e130c22a3b0fae50a1e33a9fc73ab,30.438,158.055
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,a46ba1d1721a5374f864a83f271ce425fbc811ca6d2ced77e1d158b78072c810,36.737,108.517
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,96f3e2fa83f64797eede58b20588144bcd567484993619d56cc65c035d07288d,65.29,133.363
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,b50265d13df827af98d095ea9fdbd0d80a9dc9a93ac1993ec006b97397c6cd81,26.888,69.452
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,2eb99588b4096ac82a2a174d6bd926bfb7d806c939190376da44fd68c2c23ac6,40.703,145.372
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,dc3f7824fdc24a5a9fa2486eb87c8d5c737691d210b9e577085b203a71d0a7d9,34.701,136.05
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,2c654947d391e185ea543c6d3245db0f6f6314565c95dd6989fe9ff2fcb7d36b,62.971,110.036
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,a000fbc34d13c0928a3a76c9cdf3611dcf58cc86d58b132c487b2105c090d348,43.02,45.444
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,09e30eb74c8716401ee348ce6e223d877085ae4ed686a1517659671e4459b941,44.245,113.247
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,ecb46c0d8b8b552f015044838bcdf7c5ac153470c59c446e2a51b9e17a03d324,96.416,120.108
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,90585301aa6d8c90d3ba8182014660b30bd652d1135e098f854ace715adef1d3,44.173,138.457
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,eaf5f8ef5b52a7fa3ca3a211776c74d8c06cc56eadb9d496606c6659c6334c14,39.538,150.355
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,d02b2191c570f5399b392b3d6aece3ae407540ad270a62d4e9e37e8fb8d03d6a,41.124,109.11
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,835bb9a570b4518fdf1806f4352a4ce7517d2fd4ba76789217f383efa8c338d1,26.721,72.397
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,2d1b2b758612de50e6d02711d0fd42a5319474842176bc57204d03c7ee79aece,37.729,146.651
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,ac3de6ffd15b2ea75350eac2a2a694a86e65bab1a42423ae788e047332726b41,52.467,130.312
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,e2a37bfa796ecb3fe41792eadb22f034be079eb24589f1f4186fdb4a5ae9b179,45.075,114.336
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,2e5916b09ae8c39ebffc55bae0d1dbd25b6f74bdb8417ced46da441df0f4ce57,34.288,134.315
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,063b02157e268f766bfe4c7c51f2e05a13088814c726e8f583b29f71b39b3769,36.982,131.204
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,b8761f4af31fa23ada35aba94b033541fb8f0b2d6ef7b534a3193a5a7161c937,66.141,116.607
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,95b7779ebe45545697fff958b6f90814674b6180cd64b5149aef49b756e3e5ac,42.709,144.92
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,a87ba451736ed6813cdea28a33adcd9f698210674b959b6a4604da9c5b79cd11,27.447,38.37
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,26c4ec9cee6d06c72d7593fb1b1cddaeffd417397d4ecd684058e93d9bdd5f3a,32.574,132.381
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,890101a2d7ab58932c9f47be58d05d53d7a112b72fc6120ee9a947df7ab5ae7f,54.327,122.971
