instrument_id,test_id,ibp,fbp
942706ef-836a-4464-bc76-74aa97b76f8b,8eab501189f74ea44de8adef09dac863413a7c157ddf6f170ad07a7fed15ba1f,83.499,166.776
942706ef-836a-4464-bc76-74aa97b76f8b,270e9fe2ae8b033b136fccc2a5b271cac4f3072e44a5496e629038736f476a7f,84.674,173.184
0889e4ec-1473-4d57-a5cb-df61853edf03,9ac1f74444b9845926440132468b46d17577323d135ff9a69ac0e69f53385a49,74.984,136.36
0889e4ec-1473-4d57-a5cb-df61853edf03,59954a2907e0194479ad6e456546647c1bec65c1ca87d8f5a86a46a461e19d02,42.906,139.51
0889e4ec-1473-4d57-a5cb-df61853edf03,a34670a9276f1d533b2520cb228a57db6a958b2c554fcfd93d5a5d577414a41e,23.273,30.085
0889e4ec-1473-4d57-a5cb-df61853edf03,e487b116c60c06eb01dc649424d279ee5abb835ba1a84eb37b3b7faec93f51d4,34.67,118.611
0889e4ec-1473-4d57-a5cb-df61853edf03,612546179cc93197ec46ee094472b7534cf30a9c16821489493d829c3b06fe9f,34.918,136.065
0889e4ec-1473-4d57-a5cb-df61853edf03,3bec4e421b1336802c1849967f4b47e2290e3edb3929a8f5858b8f191fc75e3b,32.683,127.335
731f339c-0327-4a22-9df3-3324da5ac628,e470c59dcaee9fc6b6bef76a95a374ab6bbbd4f40d0daaba06c6882d932ca619,27.023,71.06
731f339c-0327-4a22-9df3-3324da5ac628,e0e42ded20a27e33d06567aca6ac7d8ca91f15aa854b6b8acc9c61b56e0fddfe,125.885,127.077
d1786860-8805-4192-af2b-a6f12832ac56,20cea52e77ff2465a9c35ca55dc31677ea55678e709e4e7a9fd4f13f8c07e5ce,54.821,109.727
0889e4ec-1473-4d57-a5cb-df61853edf03,f974ce16ddbbffcfaa22da867ead89e537334fd45a2e790bd18ffb25aa4a0e52,46.06,152.168
d1786860-8805-4192-af2b-a6f12832ac56,0cec3b916f4fdc84dd33578a1a78ee2cb0687e18d1413c535e693be935dbc8e7,31.014,139.351
d1786860-8805-4192-af2b-a6f12832ac56,67b1e8327e870ed8cf9fb822693fbe4c4d0b1682ac676a1b923ac3c87c56bc23,24.477,142.703
d1786860-8805-4192-af2b-a6f12832ac56,6e79e8ffc5900366980f8fa580f2de6cac3c80c12de6ec26b93ef7c1ad3c0374,24.133,143.972
d1786860-8805-4192-af2b-a6f12832ac56,96f931ef16ff57ce180d58c64b9557e61708d955c1e1ba6987a47dda69656a4e,29.873,155.134
d1786860-8805-4192-af2b-a6f12832ac56,000891ef3ce72ff912cf73cef7c341ea23b6a5cfa930cfc1fa0e9d688f373a27,43.413,76.774
d1786860-8805-4192-af2b-a6f12832ac56,fe110bd410b816526d69235e923391f2875f8d0f02d9bfaf22eefb8c817d15ad,32.155,148.338
0889e4ec-1473-4d57-a5cb-df61853edf03,d74b31757fc50c5c7cb2f2f9cda55dfa2b6420c028c89f1840ffea85a0f65c6c,33.178,34.539
0889e4ec-1473-4d57-a5cb-df61853edf03,c5f9dc8b36659ca4905d91c89332d5fab7fcd864db22f83bf33909cf5193df2d,65.322,136.361
942706ef-836a-4464-bc76-74aa97b76f8b,7cf4182cac9c347b70d9a6a749b577f692921cbf961897a2e61c5a5f1c65d62d,33.373,162.985
942706ef-836a-4464-bc76-74aa97b76f8b,a2cc73d62944f95547b4bdc661933d67fd11afc4e8721931b4e67d31995a2587,37.764,131.236
942706ef-836a-4464-bc76-74aa97b76f8b,09eba05e7aff12c95dc0dd5540574cc66054a712f26176bebdeaf22684e5f6b7,45.366,148.502
942706ef-836a-4464-bc76-74aa97b76f8b,d6c08263cdca03b8be27505e2dab98566ad8f66819d8be48b5224ae15c3fd3c9,42.052,125.711
d1786860-8805-4192-af2b-a6f12832ac56,7b404e6dca48fd14b03f9ce65eadd3de2407ce2380a38cc64e752938a4403a70,32.981,127.114
d1786860-8805-4192-af2b-a6f12832ac56,4c686d0ff21037b13b5a225f8d9a2a1ae8ffd8ec4e7887cff44beaba46a9fc31,26.522,140.362
d1786860-8805-4192-af2b-a6f12832ac56,c40226bdc491a1a2ec29f1106eaa8b44a549e6a66509ff939b5fe991016cd642,70.872,148.724
0889e4ec-1473-4d57-a5cb-df61853edf03,26ee9d03674947f6f6afbcbba3ca7f7be2fcbab7e3c0734ec414e56567fd3893,37.023,108.766
d1786860-8805-4192-af2b-a6f12832ac56,4e85a25264f0244ead0419e80d4360bcc3fdd2d4489b11e4e08e4630e325c65b,32.66,124.445
d1786860-8805-4192-af2b-a6f12832ac56,b4ce6965b4b720af41e273bde4398a5a643e9cafc0eef6dc8e2c749fdf1ffdbc,29.531,142.013
d1786860-8805-4192-af2b-a6f12832ac56,46e71e49d707e565b3a7ba4dd4b6add0149bc43bb4fe4996ad1932e4edea8f81,37.859,166.974
d1786860-8805-4192-af2b-a6f12832ac56,f2e5595673cd22e55fb3344d88e98f7af7be87a22c4c3554ddd1dabf4cb382cc,31.844,154.412
0889e4ec-1473-4d57-a5cb-df61853edf03,8a2fefaee003cf1bb9b1ee9020b67b3b41a9b2fc84cbee2de684684aa1345e43,33.302,118.007
d1786860-8805-4192-af2b-a6f12832ac56,97cf3aba3716796c28ca7cbc03c0b735f2f759281c1bbebbe44dccfec9676e76,38.256,174.459
d1786860-8805-4192-af2b-a6f12832ac56,6011230d518473ca7e8d17816df56d1a3d9ffd5a953e8ddd00127e3b98353f7a,34.747,151.708
d1786860-8805-4192-af2b-a6f12832ac56,2a8d2a69516d61d389d64030dbd5ca41194276e88d63aa691b05dfecc3e26f70,34.303,129.015
d1786860-8805-4192-af2b-a6f12832ac56,b011bec8945f32de7de51209ca8465c4c93434fe6fe616e3de93e7355f878c9b,32.63,130.388
d1786860-8805-4192-af2b-a6f12832ac56,9d785455115ddf676aa919f9d34e736236582526284bfadb4430204ccaa0f3d1,33.011,126.372
0889e4ec-1473-4d57-a5cb-df61853edf03,a58413ff4052c4c318092c87da002f9934632fe27f2274ecea5e4b6ca6fdeeb6,39.505,177.442
d1786860-8805-4192-af2b-a6f12832ac56,2fd1a20510028c1261e52a5adff6e01c5305adf9c0fde0724ae324a2f8e71c89,30.507,132.529
731f339c-0327-4a22-9df3-3324da5ac628,81a302ba25545572f7c1ae925674ab0386c890d458cc422fa3d4a4d275440391,50.578,103.803
d1786860-8805-4192-af2b-a6f12832ac56,84f122ccbb7b61248084a64a748ce7744d4e4bc33763d4159e0aaba97a506a34,91.44,162.946
731f339c-0327-4a22-9df3-3324da5ac628,491558208ab28dfb8dc1f02e70089029be7402006d657ddd3239284bee3b2247,33.056,141.098
731f339c-0327-4a22-9df3-3324da5ac628,9806fd6d908f3397785363e0340c5bc84a10d59d8b4536d49d9900433819aa2a,26.936,142.161
d1786860-8805-4192-af2b-a6f12832ac56,646082a3c8ede3059b95b490e5c55009bce912b8560fa00bf79dff155f931ce6,59.052,143.05
d1786860-8805-4192-af2b-a6f12832ac56,9b9c18a6a9c35ce910e08995aa7149f837ee09f87e9ad3397e44f58d105688ed,33.043,134.541
d1786860-8805-4192-af2b-a6f12832ac56,1fbc6096cc14d2fa6f714762f2a667afb58fbf5fef2718b73706057e73da2232,35.995,136.858
d1786860-8805-4192-af2b-a6f12832ac56,2eab234bf99be6ad1f0caa3efde6a4511718d9063d4cdc314103e68d97d40423,26.796,148.249
