instrument_id,test_id,ibp,fbp,product
d9680145-4a1f-48a8-9ad3-52e904efc45e,e76f18256daf8e4628d287aed7ee9d79c1a308e7be746757a63d09a724bb199e,43.133,148.449,G1 & G2 EVAP
d9680145-4a1f-48a8-9ad3-52e904efc45e,fed7fa93149f4cce5af46cc8d713d0e35a993c278cac1501ab5b09a73285d05b,43.211,151.063,G1 & G2 EVAP
d9680145-4a1f-48a8-9ad3-52e904efc45e,c9b592d596ef70a50c8dd5e94b6c460c0ab150061d6531672bb53d3797628384,35.58,140.706,G1 & G2 EVAP
d9680145-4a1f-48a8-9ad3-52e904efc45e,afbc9818baf7a1b247a7b84060320098d63e355cbc9b496ae8bd20a9607d068c,41.107,147.18,G1 & G2 EVAP
d9680145-4a1f-48a8-9ad3-52e904efc45e,8e27765c66f3979bdb1c0ee94785e9642d30c5ae6071214de6f1f377ed3f99f0,36.811,161.066,G1 & G2 EVAP
d9680145-4a1f-48a8-9ad3-52e904efc45e,50e85939694871e4bd70b14fd4a0b933c640bf5be91b6b985760411364e4865c,29.385,154.601,G1 & G2 EVAP
d9680145-4a1f-48a8-9ad3-52e904efc45e,dd29da393678fe5987c57265942f608a440486bcff51abae14bf04a7a0b0a027,32.3,139.58,G1 & G2 EVAP
d9680145-4a1f-48a8-9ad3-52e904efc45e,06b10234bf6ac3d91c2e76dd0387acafbbb10d4ea55a20b3262a836130606893,53.242,136.389,G1 & G2 EVAP
d9680145-4a1f-48a8-9ad3-52e904efc45e,eaa72f30ab8694232d8d20f50706674fdfd0182e1e82e480cce1d109e2f91128,44.321,151.102,G1 & G2 EVAP
d9680145-4a1f-48a8-9ad3-52e904efc45e,5517e30bf1b3fc8ce4bbe2ae32f0e8a0ce7654acdd837b1813d4a4970fe48c71,43.982,156.243,G1 & G2 EVAP
d9680145-4a1f-48a8-9ad3-52e904efc45e,48d099b4340ccce8410d007e65ec223b348e9ed5ba6e1ff9212141be1f04ee30,56.004,134.159,G1 & G2 EVAP
d9680145-4a1f-48a8-9ad3-52e904efc45e,a7c28799f7de1f95a1c7d6a4f487124ce7d6a6674facf4c62b72c25e53ca66bf,34.481,129.247,G1 & G2 EVAP
d9680145-4a1f-48a8-9ad3-52e904efc45e,6e5a2b2db1e89cdfd1412a616167e70e9b9a2b0415627fe817e9fe91be51e119,41.821,141.053,G1 & G2 EVAP
d9680145-4a1f-48a8-9ad3-52e904efc45e,77cf32116e69130d7425134317acf9ee74ba370995a88e1399268cf0d1016778,45.032,136.99,G1 & G2 EVAP
d9680145-4a1f-48a8-9ad3-52e904efc45e,2d9921496a7766d9fabd6a6240180f7b7621ce4e403a8a1e063544194044e46c,67.019,118.47,G1 & G2 EVAP
d9680145-4a1f-48a8-9ad3-52e904efc45e,b1f7dce11939147046f3ccdc3715e83b62fe0693372e3b5851cc2a2e774d1f90,43.871,122.082,G1 & G2 EVAP
d9680145-4a1f-48a8-9ad3-52e904efc45e,2604d775d3f09d993062ec05ea3621500a9c8e10fc25b47af8d18dfd8a66bfe3,45.796,147.508,G1 & G2 EVAP
