instrument_id,test_id,ibp,fbp,product
942706ef-836a-4464-bc76-74aa97b76f8b,6744dbd38641a9eb288438177ec5942ab11e447f92a111320a17e597aa49ee58,216.573,342.341,G4 HIGH
d1786860-8805-4192-af2b-a6f12832ac56,efed04908667e8b3d2a8368c996a564e9ad313c7a376efc2fdb688e85744d42b,214.347,331.842,G4 HIGH
d1786860-8805-4192-af2b-a6f12832ac56,9849f53f7e020b00846aee6bb72778ebc8391886462dae5bbb31159ec5300f70,190.266,320.314,G4 HIGH
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,68d238b54cad1f79529df31da4db7569bffba8cb28c9aeaac9e6583cbd8f379e,220.202,342.339,G4 HIGH
d1786860-8805-4192-af2b-a6f12832ac56,87052e310ef3865ff75c9858d14f6c80749251126c893a63486f857fd375e6bc,214.142,342.202,G4 HIGH
d1786860-8805-4192-af2b-a6f12832ac56,7de962649b810ebc09c28e6b7daa21a98ddd5e09af1392688b49f80974828260,214.952,341.837,G4 HIGH
731f339c-0327-4a22-9df3-3324da5ac628,e2ecf72ec60361a150453e00a4d10c8c6c767452fe4ab03b69514fab71b03c6f,226.734,344.541,G4 HIGH
d1786860-8805-4192-af2b-a6f12832ac56,955bb2d007585753e63946df5dfa8b6530e6e410ffd52fd660844fae1aac4f0e,207.616,222.147,G4 HIGH
d1786860-8805-4192-af2b-a6f12832ac56,aeac30682335bbced97b79b55e93d25ea9a5292019d3aa3f6878c5a2977a354f,287.49,293.189,G4 HIGH
731f339c-0327-4a22-9df3-3324da5ac628,2bce7deffe8bc538f9a3310ba090fa53435268800e0b596a4988cce89301a0d2,226.734,344.541,G4 HIGH
d1786860-8805-4192-af2b-a6f12832ac56,11da55cc7bb3a02aad6dfd2e78f5d081ba28f2fd2bb37079f69fd0bd39ff8c80,187.778,320.457,G4 HIGH
d1786860-8805-4192-af2b-a6f12832ac56,d6029c236365e0af96e33b75b2c1f52f61b40b2a01924e0d64374362cd6a4559,187.199,307.029,G4 HIGH
d1786860-8805-4192-af2b-a6f12832ac56,9dc72a88559150bc5c48474d19e41fa46ae61093dd84e6579d554df3e9076bbb,179.54,327.075,G4 HIGH
731f339c-0327-4a22-9df3-3324da5ac628,c825bdf1a8a38911131db2d06bb9b6c986ef5c95847f29b9ac4b2c9f23369c3a,206.761,249.539,G4 HIGH
731f339c-0327-4a22-9df3-3324da5ac628,1f227163883bced616d326a14a49784ad51007421c3c17bcb619b1bdc806a570,231.35,347.865,G4 HIGH
731f339c-0327-4a22-9df3-3324da5ac628,d08c2506198262949d1234c0c8e1b84b3e7e26cd4fe5c22a3fd92a1e86e9cb6a,224.414,343.393,G4 HIGH
731f339c-0327-4a22-9df3-3324da5ac628,a83ce773b51fae399de3122d7a87f0ed0d588b7fca54b38545c7b571c1943dc7,214.056,335.28,G4 HIGH
d1786860-8805-4192-af2b-a6f12832ac56,fd219d501fdf16a0481b0660e566fe2dd6c7f8f374dd862317126bd3f939e17b,176.597,340.705,G4 HIGH
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,74eae43f890e067b032f890010d39d4e427b977eab8fd151bbe0c24fc6c703a5,206.597,340.259,G4 HIGH
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,e7452c6a778b89af519538a34b985a71e82709369c5ede8644282516f300d796,208.913,339.294,G4 HIGH
0889e4ec-1473-4d57-a5cb-df61853edf03,98be567cec8e043343a31044f7c37196e0bc3726a4995d03538189e7bc3d933e,69.087,282.437,G4 HIGH
942706ef-836a-4464-bc76-74aa97b76f8b,b53ac73508ad95547f85f1c25e05ff63d45006544a3d351ed16cffcbbba46651,179.184,301.41,G4 HIGH
d1786860-8805-4192-af2b-a6f12832ac56,88a10fd2f6e0fb0eddde058b96a350b8530351fb91fd99f38d7a19315c550994,214.142,342.202,G4 HIGH
d1786860-8805-4192-af2b-a6f12832ac56,c323115289f2c7d6caf40c99a70cf9ca959449cd3940c3a0faa82860927cdd36,214.952,341.837,G4 HIGH
d1786860-8805-4192-af2b-a6f12832ac56,c1072cf740ab255cdf4ca94c281e255cf840ab85de78c405ffc9c6fb43b4b42a,158.324,240.01,G4 HIGH
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,d16948f96f4d8e72ec6d757f977308389e48cf16cb94215aab6bc9023e62e7b2,184.291,319.213,G4 HIGH
942706ef-836a-4464-bc76-74aa97b76f8b,77a4261b9d72c5410980580b006ba4a031845cb9f4b47df85b86c1a0a103187a,233.825,345.005,G4 HIGH
731f339c-0327-4a22-9df3-3324da5ac628,ea3c82fdc049dad81c1e6b023a9d1a627df3d1436442ff593a173a48e42626a7,226.734,344.541,G4 HIGH
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,07097947c89bb26ed267ef0271c14d1d64b309938df5be0de6e752d898c242c2,216.897,339.007,G4 HIGH
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,7c7374b22ece94f1fd58d8e2066dd0e9f7b01f3b32e546fe10c8baff37c3385e,190.369,338.598,G4 HIGH
d1786860-8805-4192-af2b-a6f12832ac56,0dfb915dcdbb0245f4e945d9dd576b64cf3da99b98b3e89574933b6cf08f827d,190.266,320.314,G4 HIGH
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,cea7c2ec6403e3d8a13eb1d1e1387273a055dc605f04c0a4d9fc2ad1aa085c9d,217.611,341.375,G4 HIGH
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,927cff8fd955278cdd8a1a5bbf37b2f6556879d965a11a5d2a6c1c52527f05af,201.05,340.032,G4 HIGH
d1786860-8805-4192-af2b-a6f12832ac56,d74555923becf0deaa6df431db3e3327c193ad7788374da93d2ffebb8b0685b0,47.125,306.011,G4 HIGH
942706ef-836a-4464-bc76-74aa97b76f8b,0b48989897ae21a0921613e1382f140315e2ae0398f8a7521485abda5a64ce44,214.821,332.536,G4 HIGH
731f339c-0327-4a22-9df3-3324da5ac628,e9c39f7a8a60f8063ba92391c8025dcd9d27e3b54494ad2e1a07f0d07346b7ea,243.546,340.911,G4 HIGH
731f339c-0327-4a22-9df3-3324da5ac628,3d019a8029cc6805ce9f3f04288d66ca6e7bc7c4ad9818d7e3c74535b955cb0e,226.734,344.541,G4 HIGH
