instrument_id,test_id,ibp,fbp,product
0aa8fd0d-019e-422b-bcfb-6f0803909220,297ddceb75bb87607a952a9404b73213b81482c4fc024ec01dbadaa659cd602e,206.467,339.12,Gasoil opt
0aa8fd0d-019e-422b-bcfb-6f0803909220,4e706d337fc60320d8d3eba73390918588370e5bfc20e9552bd994aaacb10525,209.961,339.227,Gasoil opt
0aa8fd0d-019e-422b-bcfb-6f0803909220,486df2bd5988dfd39ce1e2805fc1bae6882072fb3da2ab5bb4362be334ac9fbf,153.254,231.508,Gasoil opt
0aa8fd0d-019e-422b-bcfb-6f0803909220,1336146f247ad17c04645f7be9681b92f5f3543568809ff43094fc65ce1439d2,211.405,339.961,Gasoil opt
0aa8fd0d-019e-422b-bcfb-6f0803909220,e48d703294d66bedb015747577f5c50cd76203308568d7483308e9a1235502b5,209.218,340.002,Gasoil opt
0aa8fd0d-019e-422b-bcfb-6f0803909220,b54db9fa6ce87e9698b3dd19a030c927ece2fc94af5843d3e18ae1c3973405c1,209.45,340.649,Gasoil opt
0aa8fd0d-019e-422b-bcfb-6f0803909220,4f3fc65815f859b366d490ba484e7e64f1d23e0ce7c171c364ffef50192da4b4,213.397,341.887,Gasoil opt
0aa8fd0d-019e-422b-bcfb-6f0803909220,60569162d28976759addd69fa6c8d77a34b6197607d081a93384575b8af7f477,214.347,339.31,Gasoil opt
0aa8fd0d-019e-422b-bcfb-6f0803909220,7fad3099ae900f109bf47a8a28b1ddeeaddc0892a6e8c1e921b066aeabdd84bd,214.489,341.161,Gasoil opt
0aa8fd0d-019e-422b-bcfb-6f0803909220,d52239c3782ba19d149e59a807e933948225110c8aae20056e37cf23a8198a93,206.648,340.369,Gasoil opt
0aa8fd0d-019e-422b-bcfb-6f0803909220,7b1a6ff3cedcce389fe6c410512b09c5dbad041968760692587ace38db90c75d,212.564,342.919,Gasoil opt
0aa8fd0d-019e-422b-bcfb-6f0803909220,0865ad961bec87bb61404f25e422bed7dcf45632f296b41ecb1b6b9f95c50258,212.816,343.196,Gasoil opt
0aa8fd0d-019e-422b-bcfb-6f0803909220,7fb7cb94a8868fd416b7acb3cbdc6c61a326aeb508726a4d52865de020cc33fd,205.521,342.177,Gasoil opt
0aa8fd0d-019e-422b-bcfb-6f0803909220,cbe61088df7ae4c2c00a20f9ecc9c1eb977c972b6fb96027ac2b05f5d20cd93d,203.03,340.152,Gasoil opt
0aa8fd0d-019e-422b-bcfb-6f0803909220,4f8506a7eb57f1ee00aed963e62807b5c94f09af092f75158abc48fd4b7b7ac8,216.445,343.64,Gasoil opt
0aa8fd0d-019e-422b-bcfb-6f0803909220,2492b86fff2bed46466261f88e0e032bc9221573062521ea4a89fe9c1efb0934,206.248,339.904,Gasoil opt
0aa8fd0d-019e-422b-bcfb-6f0803909220,f949bfbe39f8f37a73a88c2d7413d7d84ffafff87a12bc3eaed86b55ab36754f,204.138,339.606,Gasoil opt
