instrument_id,test_id,ibp,fbp,product
0aa8fd0d-019e-422b-bcfb-6f0803909220,a008d6956267756d7bdb3a0c11eeb2e967e1c12256cdf8b1af887f26ff213322,101.716,144.647,Heavy Naphtha
0aa8fd0d-019e-422b-bcfb-6f0803909220,93708abaa5b1ec4d807dd0ec97a0fb569fd0280de3a9644bd929fe90b39dafd1,74.49,141.705,Heavy Naphtha
0aa8fd0d-019e-422b-bcfb-6f0803909220,7ff98ad51a1a70b6147d00c644da65d344bd35311af67e6a21f50dde62b337b5,68.938,141.201,Heavy Naphtha
0aa8fd0d-019e-422b-bcfb-6f0803909220,ef651cd9136e597cbb726a07360f67d61e11c25e0180de3f9dfa936ff3e88d44,73.385,140.599,Heavy Naphtha
0aa8fd0d-019e-422b-bcfb-6f0803909220,52c1a310423ad997aa03c2f6535325e4583965f1b6a723a1aacc7f0dc83e7497,76.389,137.784,Heavy Naphtha
0aa8fd0d-019e-422b-bcfb-6f0803909220,fa5ca2e7901968023b004dcff48537f13853a79e2e857359e687a29066f69258,70.959,138.644,Heavy Naphtha
0aa8fd0d-019e-422b-bcfb-6f0803909220,631372ceb7ac2aa220bc09fba3cef762ec1fcad187be7e689933344e0af053c6,73.243,140.922,Heavy Naphtha
0aa8fd0d-019e-422b-bcfb-6f0803909220,75eecfb89bc2a72efae300210822f73695ad64a075aeacef5cf9c230ced5a7df,77.149,140.756,Heavy Naphtha
0aa8fd0d-019e-422b-bcfb-6f0803909220,ebf348bf974069b6570fedfb131c00a810b2b7928a9d9614ab9d1cb02098c495,103.083,141.427,Heavy Naphtha
0aa8fd0d-019e-422b-bcfb-6f0803909220,8785c1382b2d46d477a484e9134b00f566cd11e13b1eda4bfba6cfef41361108,73.397,140.439,Heavy Naphtha
0aa8fd0d-019e-422b-bcfb-6f0803909220,f8b708ee32c85a92695c39e23cfc47a563df6757ce27d1c3bd41e9f0e7e31787,73.83,140.218,Heavy Naphtha
0aa8fd0d-019e-422b-bcfb-6f0803909220,4c584da9378f9b7bb194512eb4397d272bb4ce2aae544790b3f9dc5e5bf12748,72.198,139.616,Heavy Naphtha
0aa8fd0d-019e-422b-bcfb-6f0803909220,fc0fece13a9b114c990ac38e32db3c851155bba5caf7fce88629ccecb18a5927,72.74,139.241,Heavy Naphtha
0aa8fd0d-019e-422b-bcfb-6f0803909220,10c67a9b9ea125ede501d0dfbadaa730e8ce73dd9f6d5ea2291c3a8f3b279e8b,73.107,140.075,Heavy Naphtha
0aa8fd0d-019e-422b-bcfb-6f0803909220,da3251a43853f5cf306f08bf6b9e3797033a8d00951648aa513aee577bb62e07,73.448,139.596,Heavy Naphtha
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,8198736c6a134814e12f09f0136d2c946424c193ea8a9e948b125221fea1f769,70.034,140.127,Heavy Naphtha
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,70d1b2768f2b401de6e8b285eac543a5124b22824cb6d34efc5e437f5369f56d,72.634,140.544,Heavy Naphtha
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,d15f700d2c69d07beb8a9141f97d4d14a56371708fd8e3fdf983993d8bb7dc34,73.244,140.001,Heavy Naphtha
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,8dbaa95d68a848bfcb3a3ae8341f91a66169bb4f822ba52e79b47a5d320c4429,36.048,131.939,Heavy Naphtha
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,4f8f29444a4dc18a515a2a6ac438f270184c92fa7502cfca160ce54657b4e31e,72.919,140.994,Heavy Naphtha
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,2b571d8dec71b604a9e6b6471d82a34eb2be6daab9597dbc5ee1a5d471d89ecd,75.247,140.586,Heavy Naphtha
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,3e0c2d5e045e6004585500b70466d4f16d4d7f7c5aaea14e9c77daf3ac9c44c5,74.122,141.869,Heavy Naphtha
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,f81152a1b5eb9198687c5e6fe93c45e42f385497f9d02cccee4a90cec7099912,78.378,140.252,Heavy Naphtha
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,418ad6cda4debab4be2ec2ba551f0c59abcca2ab1c804e14a5dfbcfc86801576,70.176,139.72,Heavy Naphtha
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,ea1f4720e05fd99de8f2310b8e39da3bcc8b24777957e41126d2312d5ad3c5c7,73.308,140.27,Heavy Naphtha
