instrument_id,test_id,ibp,fbp,product
0aa8fd0d-019e-422b-bcfb-6f0803909220,0715b830f1c678e6a8c925a8d13fc8305b0b5914c886474c971355234572853d,151.751,233.71,Magellan Kero New
0aa8fd0d-019e-422b-bcfb-6f0803909220,b85ce4e87f8da35d429021f381f5051a873c74d2d5ec47bc28d77f7ac92b3ace,151.178,234.163,Magellan Kero New
0aa8fd0d-019e-422b-bcfb-6f0803909220,363c9c214c1d20027f2003b184e116a2322a1a9ca476740da49e9d97826dd8e7,151.326,233.096,Magellan Kero New
0aa8fd0d-019e-422b-bcfb-6f0803909220,8c761fc4fa2bb538ab43ab97e6364f08dc298f1156189a666270bd20aee2d45a,155.949,297.142,Magellan Kero New
0aa8fd0d-019e-422b-bcfb-6f0803909220,27f5c3f23d800f5e4a6902cf3673605cde60f86bcfaaf656bba60cb639fb8e94,151.843,234.195,Magellan Kero New
0aa8fd0d-019e-422b-bcfb-6f0803909220,7ea529bcdb9aad4888d04858695c7e0a580fedd8b7489bded7023291a89c98f4,150.948,234.919,Magellan Kero New
0aa8fd0d-019e-422b-bcfb-6f0803909220,5fe554410a51b8df339779be65d564a544b3971d00f6e011892bec9820125fbd,150.321,238.048,Magellan Kero New
0aa8fd0d-019e-422b-bcfb-6f0803909220,0f287a6826b9cbf08565d661bf2ed544b0210ddb7741275739e69f5541579f40,151.387,234.729,Magellan Kero New
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,07bb0c67af68035fd4cabf53b6f3b44e67fd2cf161bd083bab73505749cdea1b,150.608,241.476,Magellan Kero New
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,d2a291b26cbdbbd1d65e8327422b2bd145459ccc39996ccb381a03aef09ceaa9,149.038,242.791,Magellan Kero New
c0983ff3-7d72-4887-b98f-c6801a6c466d,2459f98603625564d10d7ae852782efffffa7352bbbe3d0d84dd0c05e06c9ff2,149.92,227.036,Magellan Kero New
