instrument_id,test_id,ibp,fbp,product
0aa8fd0d-019e-422b-bcfb-6f0803909220,49d5888509e62ab4726ef5e1ea63dcf0c1b451bd37847a953ba68f77ac7c4224,46.719,132.128,Mixed Naphtha HB
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,96849bcec1facb1dbd77ccf879dfc775a7afa08898fe13363122efb296bc6dec,46.206,132.603,Mixed Naphtha HB
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,e1c8ba8a2a6d10bbf7062a442ac4016426ccb78b48318f2ced3e10922c1478a1,46.769,131.371,Mixed Naphtha HB
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,71b408b71013133bdbea1a6f79f7569fda2807bfa324cf4453bae711a044a9d1,46.886,132.145,Mixed Naphtha HB
c0983ff3-7d72-4887-b98f-c6801a6c466d,485ce35fcf73c11b348c274c57d5150f1c274dba2c06d421eab5f0468d10eaaf,48.496,125.37,Mixed Naphtha HB
0aa8fd0d-019e-422b-bcfb-6f0803909220,7c79435a24e5d87d7b31d194ee8a33f21996c2d50555687f0c56024d5dee8f9c,47.152,128.079,Mixed Naphtha HB
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,375b417db646db0c00c11d7ec65d0b8d8960f042b9932bc3a4491e4d38eff727,49.498,127.141,Mixed Naphtha HB
0aa8fd0d-019e-422b-bcfb-6f0803909220,ca5708489f5c5b408b996508d039d50bbf06cddb3f5da7c40c2b9734e3f65b85,49.005,132.092,Mixed Naphtha HB
0aa8fd0d-019e-422b-bcfb-6f0803909220,78a8729d17990448cf8aa787a97c726a71f03ba0255c286ae232bdcd9cd86568,51.689,131.179,Mixed Naphtha HB
0aa8fd0d-019e-422b-bcfb-6f0803909220,f9cb16e3183f5e2fdfeb8c54880b5bf391670e8fb73e7c18420cdb1d5972ad01,46.24,130.176,Mixed Naphtha HB
0aa8fd0d-019e-422b-bcfb-6f0803909220,d9537990f838bdb2bd8f88e449e356ddd847578755a5e9ca18b2fb41abfcb66f,46.992,131.545,Mixed Naphtha HB
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,356cae235b20ee7ca02bee57a9f1409322f1a2ef1dc74dcbb851de4ebc68b3fb,48.596,128.425,Mixed Naphtha HB
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,48016ba3627e1ffeaa898e73fdeda9c23ca59cd8d1246efb5a0b206a17ba643f,47.701,135.667,Mixed Naphtha HB
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,00577752264c66bcda41f3bd6042fffc8a7ab3611967390bc958dc0444df6a43,49.147,120.564,Mixed Naphtha HB
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,7bd2d1e90e7bfaa153aa9c29aebbfa5670805a67584fa458751014750f4d60e9,49.202,132.015,Mixed Naphtha HB
c0983ff3-7d72-4887-b98f-c6801a6c466d,720ec811d6bd1b44437db99d05a1ef867ff863e35ee2cf8a7bf62b5781511bc0,49.843,119.654,Mixed Naphtha HB
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,b1779d5c2b4be8d4a8ab0dd0417875941ad8ffaddfc0bc7d3fc3ff5240553374,47.236,126.555,Mixed Naphtha HB
0aa8fd0d-019e-422b-bcfb-6f0803909220,4597bd7e0d2f1243f7b96b93d9ac72ba58139154d72d89ceb424cf98ac32a000,43.903,144.251,Mixed Naphtha HB
0aa8fd0d-019e-422b-bcfb-6f0803909220,ee6fc76df695689935b6811ed9f93070ed84f7987d1cc299981860f362cd8910,38.737,122.683,Mixed Naphtha HB
0aa8fd0d-019e-422b-bcfb-6f0803909220,61105068a6532d92145af0d222108f93832ea2c7f860317c107f95c48a78eadc,46.285,123.423,Mixed Naphtha HB
0aa8fd0d-019e-422b-bcfb-6f0803909220,1f266a5a4560679b2d84d2c8eaab081f18429e40d7918b62bac31fffb7d9406e,47.688,123.848,Mixed Naphtha HB
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,828fb7bd103ea2773f6202d0b40d424bd14bddeef83d95b21bc503ca1cb90533,40.227,144.598,Mixed Naphtha HB
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,46f3549a54dcdb191e0aa27740e4cf110bb2d077eb662931b82a4ceb85a83e94,38.073,122.932,Mixed Naphtha HB
0aa8fd0d-019e-422b-bcfb-6f0803909220,eef2c65c9e9af98a77d5836a29d696b13a7f58270cf65e7c10166d7c61d2efde,49.004,125.776,Mixed Naphtha HB
0aa8fd0d-019e-422b-bcfb-6f0803909220,f3bf1896dda5d3d37d8cc48f3bc3ee7075c0c0023027083ba96da19b47b82c41,47.465,132.445,Mixed Naphtha HB
0aa8fd0d-019e-422b-bcfb-6f0803909220,160c4f156cf10b7d29b016d83bf0c6901810c40d3b8309a2795c7e5773eb4e82,47.651,130.459,Mixed Naphtha HB
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,3f7c809913196007289d0ac8f035d49109926509db9ca3a29f0eb014b14b0dac,71.916,135.198,Mixed Naphtha HB
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,8d98120edd568ee0ef4de9c32a0e20788c3757dfadf6314f6ca0b73927346757,46.885,124.436,Mixed Naphtha HB
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,681731a840ee8a3b834dcef61b22a407b9eccabb2d9e6332a15e45d19f349db0,48.304,124.059,Mixed Naphtha HB
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,615cedacee788ae1d390150130385768f70a99aed11b6d8734c26e1388c1a09f,47.616,124.292,Mixed Naphtha HB
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,d3e9a852b41b222a0b78d94912e1270efb0e2af3eadf3223a4cb63f7b6be9400,46.882,129.286,Mixed Naphtha HB
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,ea13c65ee02282877fbd26e8cdd11d7a3792e599b49e4a6744a1aa8eb7dde6a9,47.716,129.716,Mixed Naphtha HB
c0983ff3-7d72-4887-b98f-c6801a6c466d,94f7e454baef3abe1fa3e8c9749c2b01cdff5a5d6454a108b089c8e8f5ec8857,51.678,131.77,Mixed Naphtha HB
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,646214bc70ff19c1d067c1df5c91fc04e7d14bf6d0978a98fafc35ce8a7a0b84,49.149,124.591,Mixed Naphtha HB
