instrument_id,test_id,ibp,fbp,product
c0983ff3-7d72-4887-b98f-c6801a6c466d,0d9b9dabe5ced06c793888e67a3e5a2634b0534edda290e0b2f4287f3557522b,28.678,80.041,P2 SLATE
0aa8fd0d-019e-422b-bcfb-6f0803909220,8de1b597b44a20770fb40cccd227ae4b25e120458e62a9c6f8b8d8a607ad8ebb,62.154,99.57,P2 SLATE
0aa8fd0d-019e-422b-bcfb-6f0803909220,cdcfd236a232a6dc0eb04a0867325d51cb63dab1b859dc6550c6a9ccd5debd9a,28.036,75.933,P2 SLATE
0aa8fd0d-019e-422b-bcfb-6f0803909220,7b219f419a409baf969a636dc5df220af5ede251c4fa0199ea0a0bd91bcd9464,31.396,59.627,P2 SLATE
0aa8fd0d-019e-422b-bcfb-6f0803909220,ce748a3c53c9c21040b75e005392cc524801de0e1a27ec4d2cae774e989683fa,60.993,84.245,P2 SLATE
0aa8fd0d-019e-422b-bcfb-6f0803909220,2a5e40a19de68f979d4aac688131f6ae6a22f76733207069c71f260e9e6a3b54,32.11,63.499,P2 SLATE
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,012e47de8f0457af6c2081f7599fb7188920b63e08327f2ff410166fb2582e26,60.339,85.69,P2 SLATE
0aa8fd0d-019e-422b-bcfb-6f0803909220,c0c81f73a12330b15a4074046f695a605b3f4955da68cbd24254ab777e4cd830,61.578,110.96,P2 SLATE
0aa8fd0d-019e-422b-bcfb-6f0803909220,40c654f8a2ddbe4658518c3b53546e9e818b4fc657a78efe6061cc17c9feb0af,39.896,166.867,P2 SLATE
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,154a5601c44311e4359a156bdd06ab01820dec0ae3c4324f55aa3efa81463f79,60.917,93.411,P2 SLATE
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,a150bf1b661809c40410cb87a076a57ddbef08bbd5585b00e61cfd802431293b,36.911,167.479,P2 SLATE
c0983ff3-7d72-4887-b98f-c6801a6c466d,24f99b1741791809f80a240d2d441536d431043dfc9c93dff86a68009440494b,61.057,117.467,P2 SLATE
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,93ead2222be723f3ff4c9cb2fa1e35cae730544abb8f44c2ee32c024b68d3a7d,60.68,118.505,P2 SLATE
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,37395b4d6692da3014a2436f95c52e6ead63f33e0fb86418c6a48b53806fa002,32.064,62.755,P2 SLATE
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,3ee248bf7442dd675470ce227d4ff32c38633bb378909a00b2eaea589cd7f220,49.336,114.504,P2 SLATE
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,9c4a68574863209b5acd166d9aa40abc1f320a96b4b89e2ddcd203e1ccaa4c0c,32.169,64.584,P2 SLATE
c0983ff3-7d72-4887-b98f-c6801a6c466d,7b1047dc3133d451348994841dfddc651af06621f70d7b43679d434f7f3317b5,60.105,88.142,P2 SLATE
0aa8fd0d-019e-422b-bcfb-6f0803909220,586594bf5e316dd413a896a0db874d439aa9edbc285655951d379d142dd51941,59.911,118.523,P2 SLATE
c0983ff3-7d72-4887-b98f-c6801a6c466d,72642ea1c8d034e6bef63decb3b9602c8a898578617ac09da343de107ecb648f,62.078,95.219,P2 SLATE
c0983ff3-7d72-4887-b98f-c6801a6c466d,2aedd19eb3481fea68e0d5fc7807f7d8bdddb8be90ab3e01c3cd52fc40922a8e,61.576,116.963,P2 SLATE
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,fd36cb95b8a48fae02fdbe97a5d111de83a7a0f1d78bb818bb763d7c0db703fc,60.475,115.712,P2 SLATE
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,a04c536357c2f48711901391ca36f5df647535bc7f63326f2f68919cc8d7fd02,60.314,115.356,P2 SLATE
c0983ff3-7d72-4887-b98f-c6801a6c466d,3ecbea16aeb484172549cc85a528442363359134a84aeff763030927fb918fc3,64.822,97.688,P2 SLATE
0aa8fd0d-019e-422b-bcfb-6f0803909220,654fa6ac11a85f20fe3b4c5d954f56f615411548ab057cd914e18abba10c0082,36.355,96.364,P2 SLATE
0aa8fd0d-019e-422b-bcfb-6f0803909220,db5438d82271f78bd4ebf28e935720a86f6e4adbb43a965a6cc52e58b78470ca,36.606,96.589,P2 SLATE
0aa8fd0d-019e-422b-bcfb-6f0803909220,de7476489382fbbfb7a4035df79e72f33b93137adca6eb5c1df68aa66b82b58d,36.972,109.964,P2 SLATE
c0983ff3-7d72-4887-b98f-c6801a6c466d,9b36d9394033e48e88096e05a67d108e0d5fb09b60b52437ea75a4547c2f97d4,36.816,95.821,P2 SLATE
c0983ff3-7d72-4887-b98f-c6801a6c466d,d7d51bc304dad9afcd045f2f546d797c2a37aa3617842505b0d27b02515c6ece,38.081,111.253,P2 SLATE
0aa8fd0d-019e-422b-bcfb-6f0803909220,337a66e6bcb5442e54e3ed5c7ffda6a3859810ef96bc13f21430b0fe4bd953cd,28.84,67.535,P2 SLATE
