count,count
AUTO G1+G2 GAS EVAP,11910
AUTO G1+G2 EVAP,9405
AUTO G4,9328
G1+G2 EVAP,8085
AUTO G1+G2 Gasoline,3421
400 cut,1690
AUTO G3,983
G1&G2 EVAP,801
Naphtha,620
CRUDE INV,529
450 cut,457
AUTO G2 High Boil.,453
Heavy Naphtha,309
Gasoil opt,297
10% BTMS,259
280 cut,247
Magellan 124 HVN New,210
Magellan 125 LVN New,199
G4 HIGH,188
Mixed Naphtha HB,184
Gas Oil OPT,153
Camin 10% Residue,138
DIESEL PARA RC,123
174869-25opt,106
650F Cut,78
G1 & G2 EVAP,73
P2 SLATE,68
Gasoil OPT,68
Magellan Kero New,55
NAPHTHA,49
mtbe 1-9,48
Buckeye Gasoil,47
650F CUT,46
crude opt,42
177731-1212,42
DIESEL QC,42
179325-4eeeeer,41
dqc run,40
650f cut,40
179541-1qQQE,38
179100-4a,36
178915-18a,36
BUCKEYE KERO,36
178960-17aaa24,36
179398_16BBB,35
180769-14jjjjj,33
181660-88,32
JET D1655-DEFSTAN91,32
GAS OIL OPT,32
4678-13,31
182377-10rrryy,31
crude,30
180083-14qqqqq,29
180444-25,27
177322-27hhhhh,27
180901-8eeeeer,26
177492-111ddddd,26
Magellan Gasoil New,26
TRANS 53.9,25
350 cut,25
177756-20,24
dqc,24
178493-10GGG,23
gas qc1,23
181928-32uuiiiui,22
WEEK QCB,22
D 850 IBP<110C TOL,22
183159-7,21
NAFTA BRASKEM,21
185590-10GG,21
DMA,20
184271-24,20
182235-13xxx,19
179081-8aaaa3,19
178643-9aaaa,19
180190-7wwwwweee,18
181096-31GGG,18
NAPH,18
177832-6a,18
184530-6GGG,18
181693-6gtttgyu,18
182534-8,17
183115-19,17
182335-8 jgg,17
185427-2a,16
RFG2562-1AXXX,16
15647-1srvhi,16
181652-11,16
182690-1a,16
184580-6,15
DIESEL,15
184365-3,15
TOLUENE DD850,14
174930-111111111,14
179306-49,14
MEG D1078,14
177843-6a,14
192595-5 deeeeeeee,14
193234-9opt<<<,14
HEXADECAN CAL 2,14
240 CUT,14
182043-2peener,14
G4 HIGH BOIL,13
G4 HIGH #2,13
179374-2111,13
LPO 15521-31oppttt,13
177874-5,13
186929_1A,12
500F cut,12
180131-1spkopt,12
180131-1ntopt,12
DIESEL PESADO,12
180129-4a,12
185745-6bj,12
179109-21kjf,11
RFG2477-1CCC,11
180690-26ttttt,11
106558-153a,11
2275-1a,11
