test_id,product,instrument_id,table_data,timestamp,tstart,tstop,ibp,fbp,t50,test_duration,avg_ibp,std_ibp,avg_fbp,std_fbp,avg_t50,std_t50,avg_test_duration,std_test_duration
7591247c554eb3ceb8d484715f739e134a9a572160160055a4d9d4e163af0bef,180469-10tyutyt,731f339c-0327-4a22-9df3-3324da5ac628,"[{""percent"":""IBP"",""DistRate"":""7 min 20 sec"",""LiqTemp"":""58.4 C"",""HeatTemp"":""424.2 C"",""VapTemp"":""34 C"",""VapTempAdjusted"":""34 C"",""VapTempCorrected"":""34 C"",""VapTempEvaporated"":""34 C"",""time"":""440""},{""percent"":""5 %"",""VapTemp"":""46.5 C"",""DistRate"":""4.2 ml/min"",""LiqTemp"":""60.9 C"",""HeatTemp"":""366 C"",""VapTempAdjusted"":""46.5 C"",""VapTempCorrected"":""46.5 C"",""VapTempEvaporated"":"""",""time"":1736180269000},{""percent"":""10 %"",""VapTemp"":""49.5 C"",""DistRate"":""4.5 ml/min"",""LiqTemp"":""63 C"",""HeatTemp"":""344 C"",""VapTempAdjusted"":""49.5 C"",""VapTempCorrected"":""49.4 C"",""VapTempEvaporated"":"""",""time"":1736180269001},{""percent"":""15 %"",""VapTemp"":""51.8 C"",""DistRate"":""3.7 ml/min"",""LiqTemp"":""65.3 C"",""HeatTemp"":""332.1 C"",""VapTempAdjusted"":""51.8 C"",""VapTempCorrected"":""51.8 C"",""VapTempEvaporated"":"""",""time"":1736180269002},{""percent"":""20 %"",""VapTemp"":""53.7 C"",""DistRate"":""4 ml/min"",""LiqTemp"":""67.2 C"",""HeatTemp"":""366.9 C"",""VapTempAdjusted"":""53.7 C"",""VapTempCorrected"":""53.7 C"",""VapTempEvaporated"":"""",""time"":1736180269003},{""percent"":""30 %"",""VapTemp"":""57.5 C"",""DistRate"":""4.9 ml/min"",""LiqTemp"":""70.7 C"",""HeatTemp"":""373.2 C"",""VapTempAdjusted"":""57.5 C"",""VapTempCorrected"":""57.5 C"",""VapTempEvaporated"":"""",""time"":1736180269004},{""percent"":""40 %"",""VapTemp"":""61.8 C"",""DistRate"":""4.4 ml/min"",""LiqTemp"":""74.6 C"",""HeatTemp"":""387.1 C"",""VapTempAdjusted"":""61.8 C"",""VapTempCorrected"":""61.8 C"",""VapTempEvaporated"":"""",""time"":1736180269005},{""percent"":""50 %"",""VapTemp"":""65.9 C"",""DistRate"":""4 ml/min"",""LiqTemp"":""79.8 C"",""HeatTemp"":""438.7 C"",""VapTempAdjusted"":""65.9 C"",""VapTempCorrected"":""65.9 C"",""VapTempEvaporated"":"""",""time"":1736180269006},{""percent"":""60 %"",""VapTemp"":""89.3 C"",""DistRate"":""5.4 ml/min"",""LiqTemp"":""96.3 C"",""HeatTemp"":""488.7 C"",""VapTempAdjusted"":""89.3 C"",""VapTempCorrected"":""89.3 C"",""VapTempEvaporated"":"""",""time"":1736180269007},{""percent"":""70 %"",""VapTemp"":""105.9 C"",""DistRate"":""4.2 ml/min"",""LiqTemp"":""104.2 C"",""HeatTemp"":""461.7 C"",""VapTempAdjusted"":""105.9 C"",""VapTempCorrected"":""105.8 C"",""VapTempEvaporated"":"""",""time"":1736180269008},{""percent"":""80 %"",""VapTemp"":""117.1 C"",""DistRate"":""4 ml/min"",""LiqTemp"":""111.1 C"",""HeatTemp"":""476.5 C"",""VapTempAdjusted"":""117.1 C"",""VapTempCorrected"":""117.1 C"",""VapTempEvaporated"":"""",""time"":1736180269009},{""percent"":""85 %"",""VapTemp"":""128.3 C"",""DistRate"":""3.6 ml/min"",""LiqTemp"":""119 C"",""HeatTemp"":""541.2 C"",""VapTempAdjusted"":""128.3 C"",""VapTempCorrected"":""128.3 C"",""VapTempEvaporated"":"""",""time"":1736180269010},{""percent"":""90 %"",""VapTemp"":""132.5 C"",""DistRate"":""8.7 ml/min"",""LiqTemp"":""121.9 C"",""HeatTemp"":""480.1 C"",""VapTempAdjusted"":""132.5 C"",""VapTempCorrected"":""132.5 C"",""VapTempEvaporated"":"""",""time"":1736180269011},{""percent"":""95 %"",""VapTemp"":""133 C"",""DistRate"":"""",""LiqTemp"":""122.4 C"",""HeatTemp"":"""",""VapTempAdjusted"":""133 C"",""VapTempCorrected"":""132.9 C"",""VapTempEvaporated"":"""",""time"":1736180269012},{""percent"":""FBP 93 %"",""DistRate"":""0 min 7 sec"",""LiqTemp"":""122.4 C"",""HeatTemp"":""427.1 C"",""VapTemp"":""133.2 C"",""VapTempAdjusted"":""133 C"",""VapTempCorrected"":""133.2 C"",""VapTempEvaporated"":"""",""time"":""7""}]",2025-01-06 16:17:48+00,2025-01-06 16:17:48+00:00,2025-01-06 16:48:13+00:00,,,,30.416666666666668,35.364,0.0,121.359,0.0,65.87133333333334,0.0023094010767541,30.416666666666668,0.0
c31e178ebf70d6ebb9fde92a3e64dc723222370f0c9f6054b27571e0585f3279,180469-10tyutyt,731f339c-0327-4a22-9df3-3324da5ac628,"[{""percent"":""IBP"",""DistRate"":""6 min 12 sec"",""LiqTemp"":""3292.000"",""HeatTemp"":""-"",""VapTemp"":""2147483.648"",""VapTempAdjusted"":""2147483.648"",""VapTempCorrected"":""-"",""VapTempEvaporated"":""-"",""time"":1727885743999},{""percent"":""FBP"",""DistRate"":""6 min 10 sec"",""LiqTemp"":""3292.000"",""HeatTemp"":""-"",""VapTemp"":""2147483.648"",""VapTempAdjusted"":""2147483.648"",""VapTempCorrected"":""-"",""VapTempEvaporated"":""-"",""time"":1727885744000}]",2024-10-02 16:15:43+00,2024-10-02 16:15:43+00:00,2024-10-02 16:15:44+00:00,,,,0.0166666666666666,35.364,0.0,121.359,0.0,65.87133333333334,0.0023094010767541,30.416666666666668,0.0
65011a47d3193c742ba37633a8ec5a32cd5452d9d246bb1477b358ef8ac8c22b,180469-10tyutyt,731f339c-0327-4a22-9df3-3324da5ac628,"[{""percent"":""IBP"",""DistRate"":""6 min 8 sec"",""LiqTemp"":""76.100"",""HeatTemp"":""381.000"",""VapTemp"":""46.478"",""VapTempAdjusted"":""46.478"",""VapTempCorrected"":""35.364"",""VapTempEvaporated"":""-"",""time"":1727885868999},{""percent"":""10"",""VapTemp"":""49.44"",""DistRate"":4.5,""LiqTemp"":""63.00"",""HeatTemp"":""344.00"",""VapTempAdjusted"":""49.44"",""VapTempCorrected"":""49.43"",""VapTempEvaporated"":""2147483.64"",""time"":1727885869000},{""percent"":""20"",""VapTemp"":""53.67"",""DistRate"":4,""LiqTemp"":""67.20"",""HeatTemp"":""366.90"",""VapTempAdjusted"":""53.67"",""VapTempCorrected"":""53.66"",""VapTempEvaporated"":""2147483.64"",""time"":1727885869001},{""percent"":""30"",""VapTemp"":""57.47"",""DistRate"":4.9,""LiqTemp"":""70.70"",""HeatTemp"":""373.20"",""VapTempAdjusted"":""57.47"",""VapTempCorrected"":""57.45"",""VapTempEvaporated"":""2147483.64"",""time"":1727885869002},{""percent"":""40"",""VapTemp"":""61.79"",""DistRate"":4.4,""LiqTemp"":""74.59"",""HeatTemp"":""387.10"",""VapTempAdjusted"":""61.79"",""VapTempCorrected"":""61.78"",""VapTempEvaporated"":""2147483.64"",""time"":1727885869003},{""percent"":""50"",""VapTemp"":""65.88"",""DistRate"":4,""LiqTemp"":""79.80"",""HeatTemp"":""438.70"",""VapTempAdjusted"":""65.88"",""VapTempCorrected"":""65.87"",""VapTempEvaporated"":""2147483.64"",""time"":1727885869004},{""percent"":""60"",""VapTemp"":""89.31"",""DistRate"":5.4,""LiqTemp"":""96.30"",""HeatTemp"":""488.70"",""VapTempAdjusted"":""89.31"",""VapTempCorrected"":""89.30"",""VapTempEvaporated"":""2147483.64"",""time"":1727885869005},{""percent"":""70"",""VapTemp"":""105.85"",""DistRate"":4.2,""LiqTemp"":""104.20"",""HeatTemp"":""461.70"",""VapTempAdjusted"":""105.85"",""VapTempCorrected"":""105.83"",""VapTempEvaporated"":""2147483.64"",""time"":1727885869006},{""percent"":""75"",""VapTemp"":""111.63"",""DistRate"":5.6,""LiqTemp"":""107.40"",""HeatTemp"":""460.20"",""VapTempAdjusted"":""111.63"",""VapTempCorrected"":""111.62"",""VapTempEvaporated"":""2147483.64"",""time"":1727885869007},{""percent"":""80"",""VapTemp"":""117.08"",""DistRate"":4,""LiqTemp"":""111.10"",""HeatTemp"":""476.50"",""VapTempAdjusted"":""117.08"",""VapTempCorrected"":""117.07"",""VapTempEvaporated"":""2147483.64"",""time"":1727885869008},{""percent"":""85"",""VapTemp"":""128.27"",""DistRate"":3.6,""LiqTemp"":""119.00"",""HeatTemp"":""541.20"",""VapTempAdjusted"":""128.27"",""VapTempCorrected"":""128.25"",""VapTempEvaporated"":""2147483.64"",""time"":1727885869009},{""percent"":""90"",""VapTemp"":""132.47"",""DistRate"":8.7,""LiqTemp"":""121.90"",""HeatTemp"":""480.10"",""VapTempAdjusted"":""132.47"",""VapTempCorrected"":""132.45"",""VapTempEvaporated"":""2147483.64"",""time"":1727885869010},{""percent"":""FBP"",""DistRate"":""6 min 37 sec"",""LiqTemp"":""137.100"",""HeatTemp"":""495.100"",""VapTemp"":""132.477"",""VapTempAdjusted"":""132.477"",""VapTempCorrected"":""121.359"",""VapTempEvaporated"":""-"",""time"":1727885869011}]",2024-10-02 16:17:48+00,2024-10-02 16:17:48+00:00,2024-10-02 16:48:13+00:00,35.364,121.359,65.87,30.416666666666668,35.364,0.0,121.359,0.0,65.87133333333334,0.0023094010767541,30.416666666666668,0.0
33c91d2e0411180ca6e4cd0b3b6d8312fb22215d126cf6d0804082b9a7c8879b,180469-10tyutyt,731f339c-0327-4a22-9df3-3324da5ac628,"[{""percent"":""IBP"",""DistRate"":""6 min 28 sec"",""LiqTemp"":""3292.000"",""HeatTemp"":""-"",""VapTemp"":""2147483.648"",""VapTempAdjusted"":""2147483.648"",""VapTempCorrected"":""-"",""VapTempEvaporated"":""-"",""time"":1725120943999},{""percent"":""FBP"",""DistRate"":""6 min 5 sec"",""LiqTemp"":""3292.000"",""HeatTemp"":""-"",""VapTemp"":""2147483.648"",""VapTempAdjusted"":""2147483.648"",""VapTempCorrected"":""-"",""VapTempEvaporated"":""-"",""time"":1725120944000}]",2024-08-31 16:15:43+00,2024-08-31 16:15:43+00:00,2024-08-31 16:15:44+00:00,,,,0.0166666666666666,35.364,0.0,121.359,0.0,65.87133333333334,0.0023094010767541,30.416666666666668,0.0
4ed6bc661cdcc75819e417a97bcaba7a1f0e5437270d94e6b75032a857229c5c,180469-10tyutyt,731f339c-0327-4a22-9df3-3324da5ac628,"[{""percent"":""IBP"",""DistRate"":""6 min 2 sec"",""LiqTemp"":""76.100"",""HeatTemp"":""381.000"",""VapTemp"":""46.478"",""VapTempAdjusted"":""46.478"",""VapTempCorrected"":""35.364"",""VapTempEvaporated"":""-"",""time"":1725121068999},{""percent"":""10"",""VapTemp"":""49.449"",""DistRate"":4.5,""LiqTemp"":""63.000"",""HeatTemp"":""344.000"",""VapTempAdjusted"":""49.449"",""VapTempCorrected"":""49.435"",""VapTempEvaporated"":""2147483.648"",""time"":1725121069000},{""percent"":""20"",""VapTemp"":""53.677"",""DistRate"":4,""LiqTemp"":""67.200"",""HeatTemp"":""366.900"",""VapTempAdjusted"":""53.677"",""VapTempCorrected"":""53.663"",""VapTempEvaporated"":""2147483.648"",""time"":1725121069001},{""percent"":""30"",""VapTemp"":""57.472"",""DistRate"":4.9,""LiqTemp"":""70.700"",""HeatTemp"":""373.200"",""VapTempAdjusted"":""57.472"",""VapTempCorrected"":""57.457"",""VapTempEvaporated"":""2147483.648"",""time"":1725121069002},{""percent"":""40"",""VapTemp"":""61.795"",""DistRate"":4.4,""LiqTemp"":""74.600"",""HeatTemp"":""387.100"",""VapTempAdjusted"":""61.795"",""VapTempCorrected"":""61.780"",""VapTempEvaporated"":""2147483.648"",""time"":1725121069003},{""percent"":""50"",""VapTemp"":""65.889"",""DistRate"":4,""LiqTemp"":""79.800"",""HeatTemp"":""438.700"",""VapTempAdjusted"":""65.889"",""VapTempCorrected"":""65.874"",""VapTempEvaporated"":""2147483.648"",""time"":1725121069004},{""percent"":""60"",""VapTemp"":""89.316"",""DistRate"":5.4,""LiqTemp"":""96.300"",""HeatTemp"":""488.700"",""VapTempAdjusted"":""89.316"",""VapTempCorrected"":""89.300"",""VapTempEvaporated"":""2147483.648"",""time"":1725121069005},{""percent"":""70"",""VapTemp"":""105.852"",""DistRate"":4.2,""LiqTemp"":""104.200"",""HeatTemp"":""461.700"",""VapTempAdjusted"":""105.852"",""VapTempCorrected"":""105.835"",""VapTempEvaporated"":""2147483.648"",""time"":1725121069006},{""percent"":""75"",""VapTemp"":""111.637"",""DistRate"":5.6,""LiqTemp"":""107.400"",""HeatTemp"":""460.200"",""VapTempAdjusted"":""111.637"",""VapTempCorrected"":""111.620"",""VapTempEvaporated"":""2147483.648"",""time"":1725121069007},{""percent"":""80"",""VapTemp"":""117.087"",""DistRate"":4,""LiqTemp"":""111.100"",""HeatTemp"":""476.500"",""VapTempAdjusted"":""117.087"",""VapTempCorrected"":""117.070"",""VapTempEvaporated"":""2147483.648"",""time"":1725121069008},{""percent"":""85"",""VapTemp"":""128.275"",""DistRate"":3.6,""LiqTemp"":""119.000"",""HeatTemp"":""541.200"",""VapTempAdjusted"":""128.275"",""VapTempCorrected"":""128.257"",""VapTempEvaporated"":""2147483.648"",""time"":1725121069009},{""percent"":""90"",""VapTemp"":""132.477"",""DistRate"":8.7,""LiqTemp"":""121.900"",""HeatTemp"":""480.100"",""VapTempAdjusted"":""132.477"",""VapTempCorrected"":""132.459"",""VapTempEvaporated"":""2147483.648"",""time"":1725121069010},{""percent"":""FBP"",""DistRate"":""6 min 10 sec"",""LiqTemp"":""137.100"",""HeatTemp"":""495.100"",""VapTemp"":""132.477"",""VapTempAdjusted"":""132.477"",""VapTempCorrected"":""121.359"",""VapTempEvaporated"":""-"",""time"":1725121069011}]",2024-08-31 16:17:48+00,2024-08-31 16:17:48+00:00,2024-08-31 16:48:13+00:00,35.364,121.359,65.874,30.416666666666668,35.364,0.0,121.359,0.0,65.87133333333334,0.0023094010767541,30.416666666666668,0.0
7012e374d39cbd915a0c9247e3c2b70f2f6d6e0b1c507b7a764d17734de95fed,180469-10tyutyt,731f339c-0327-4a22-9df3-3324da5ac628,"[{""percent"":""IBP"",""DistRate"":""6 min 21 sec"",""LiqTemp"":""3292.000"",""HeatTemp"":""-"",""VapTemp"":""2147483.648"",""VapTempAdjusted"":""2147483.648"",""VapTempCorrected"":""-"",""VapTempEvaporated"":""-"",""time"":1730650543999},{""percent"":""FBP"",""DistRate"":""6 min 50 sec"",""LiqTemp"":""3292.000"",""HeatTemp"":""-"",""VapTemp"":""2147483.648"",""VapTempAdjusted"":""2147483.648"",""VapTempCorrected"":""-"",""VapTempEvaporated"":""-"",""time"":1730650544000}]",2024-11-03 16:15:43+00,2024-11-03 16:15:43+00:00,2024-11-03 16:15:44+00:00,,,,0.0166666666666666,35.364,0.0,121.359,0.0,65.87133333333334,0.0023094010767541,30.416666666666668,0.0
09badac9489a58f5106c12ea21c395e5868b4aaa58f5ec49e15105b1aef75e0b,180469-10tyutyt,731f339c-0327-4a22-9df3-3324da5ac628,"[{""percent"":""IBP"",""DistRate"":""6 min 29 sec"",""LiqTemp"":""76.100"",""HeatTemp"":""381.000"",""VapTemp"":""46.478"",""VapTempAdjusted"":""46.478"",""VapTempCorrected"":""35.364"",""VapTempEvaporated"":""-"",""time"":1730650668999},{""percent"":""10"",""VapTemp"":""49.44"",""DistRate"":4.5,""LiqTemp"":""63.00"",""HeatTemp"":""344.00"",""VapTempAdjusted"":""49.44"",""VapTempCorrected"":""49.43"",""VapTempEvaporated"":""2147483.64"",""time"":1730650669000},{""percent"":""20"",""VapTemp"":""53.67"",""DistRate"":4,""LiqTemp"":""67.20"",""HeatTemp"":""366.90"",""VapTempAdjusted"":""53.67"",""VapTempCorrected"":""53.66"",""VapTempEvaporated"":""2147483.64"",""time"":1730650669001},{""percent"":""30"",""VapTemp"":""57.47"",""DistRate"":4.9,""LiqTemp"":""70.70"",""HeatTemp"":""373.20"",""VapTempAdjusted"":""57.47"",""VapTempCorrected"":""57.45"",""VapTempEvaporated"":""2147483.64"",""time"":1730650669002},{""percent"":""40"",""VapTemp"":""61.79"",""DistRate"":4.4,""LiqTemp"":""74.59"",""HeatTemp"":""387.10"",""VapTempAdjusted"":""61.79"",""VapTempCorrected"":""61.78"",""VapTempEvaporated"":""2147483.64"",""time"":1730650669003},{""percent"":""50"",""VapTemp"":""65.88"",""DistRate"":4,""LiqTemp"":""79.80"",""HeatTemp"":""438.70"",""VapTempAdjusted"":""65.88"",""VapTempCorrected"":""65.87"",""VapTempEvaporated"":""2147483.64"",""time"":1730650669004},{""percent"":""60"",""VapTemp"":""89.31"",""DistRate"":5.4,""LiqTemp"":""96.30"",""HeatTemp"":""488.70"",""VapTempAdjusted"":""89.31"",""VapTempCorrected"":""89.30"",""VapTempEvaporated"":""2147483.64"",""time"":1730650669005},{""percent"":""70"",""VapTemp"":""105.85"",""DistRate"":4.2,""LiqTemp"":""104.20"",""HeatTemp"":""461.70"",""VapTempAdjusted"":""105.85"",""VapTempCorrected"":""105.83"",""VapTempEvaporated"":""2147483.64"",""time"":1730650669006},{""percent"":""75"",""VapTemp"":""111.63"",""DistRate"":5.6,""LiqTemp"":""107.40"",""HeatTemp"":""460.20"",""VapTempAdjusted"":""111.63"",""VapTempCorrected"":""111.62"",""VapTempEvaporated"":""2147483.64"",""time"":1730650669007},{""percent"":""80"",""VapTemp"":""117.08"",""DistRate"":4,""LiqTemp"":""111.10"",""HeatTemp"":""476.50"",""VapTempAdjusted"":""117.08"",""VapTempCorrected"":""117.07"",""VapTempEvaporated"":""2147483.64"",""time"":1730650669008},{""percent"":""85"",""VapTemp"":""128.27"",""DistRate"":3.6,""LiqTemp"":""119.00"",""HeatTemp"":""541.20"",""VapTempAdjusted"":""128.27"",""VapTempCorrected"":""128.25"",""VapTempEvaporated"":""2147483.64"",""time"":1730650669009},{""percent"":""90"",""VapTemp"":""132.47"",""DistRate"":8.7,""LiqTemp"":""121.90"",""HeatTemp"":""480.10"",""VapTempAdjusted"":""132.47"",""VapTempCorrected"":""132.45"",""VapTempEvaporated"":""2147483.64"",""time"":1730650669010},{""percent"":""FBP"",""DistRate"":""6 min 58 sec"",""LiqTemp"":""137.100"",""HeatTemp"":""495.100"",""VapTemp"":""132.477"",""VapTempAdjusted"":""132.477"",""VapTempCorrected"":""121.359"",""VapTempEvaporated"":""-"",""time"":1730650669011}]",2024-11-03 16:17:48+00,2024-11-03 16:17:48+00:00,2024-11-03 16:48:13+00:00,35.364,121.359,65.87,30.416666666666668,35.364,0.0,121.359,0.0,65.87133333333334,0.0023094010767541,30.416666666666668,0.0
3691eca0e9c94fe44ab94b7db5037c638a52c334329d6cedb027af24a58427f2,180469-10tyutyt,731f339c-0327-4a22-9df3-3324da5ac628,"[{""percent"":""IBP"",""DistRate"":""-547 min -8 sec"",""LiqTemp"":"""",""HeatTemp"":"""",""VapTemp"":"""",""VapTempAdjusted"":"""",""VapTempCorrected"":"""",""VapTempEvaporated"":"""",""time"":""-32768""},{""percent"":""FBP  %"",""DistRate"":""-547 min -8 sec"",""LiqTemp"":"""",""HeatTemp"":"""",""VapTemp"":"""",""VapTempAdjusted"":"""",""VapTempCorrected"":"""",""VapTempEvaporated"":"""",""time"":""-32768""}]",2024-12-05 16:15:43+00,2024-12-05 16:15:43+00:00,2024-12-05 16:15:44+00:00,,,,0.0166666666666666,35.364,0.0,121.359,0.0,65.87133333333334,0.0023094010767541,30.416666666666668,0.0
1fc3d569457f4444a5ef690ac5d486357cc816336ef790921532ab7cdf13a542,180469-10tyutyt,731f339c-0327-4a22-9df3-3324da5ac628,"[{""percent"":""IBP"",""DistRate"":""7 min 20 sec"",""LiqTemp"":""58.4 C"",""HeatTemp"":""424.2 C"",""VapTemp"":""34 C"",""VapTempAdjusted"":""34 C"",""VapTempCorrected"":""34 C"",""VapTempEvaporated"":""34 C"",""time"":""440""},{""percent"":""5 %"",""VapTemp"":""46.5 C"",""DistRate"":""4.2 ml/min"",""LiqTemp"":""60.9 C"",""HeatTemp"":""366 C"",""VapTempAdjusted"":""46.5 C"",""VapTempCorrected"":""46.5 C"",""VapTempEvaporated"":"""",""time"":1733415469000},{""percent"":""10 %"",""VapTemp"":""49.5 C"",""DistRate"":""4.5 ml/min"",""LiqTemp"":""63 C"",""HeatTemp"":""344 C"",""VapTempAdjusted"":""49.5 C"",""VapTempCorrected"":""49.4 C"",""VapTempEvaporated"":"""",""time"":1733415469001},{""percent"":""15 %"",""VapTemp"":""51.8 C"",""DistRate"":""3.7 ml/min"",""LiqTemp"":""65.3 C"",""HeatTemp"":""332.1 C"",""VapTempAdjusted"":""51.8 C"",""VapTempCorrected"":""51.8 C"",""VapTempEvaporated"":"""",""time"":1733415469002},{""percent"":""20 %"",""VapTemp"":""53.7 C"",""DistRate"":""4 ml/min"",""LiqTemp"":""67.2 C"",""HeatTemp"":""366.9 C"",""VapTempAdjusted"":""53.7 C"",""VapTempCorrected"":""53.7 C"",""VapTempEvaporated"":"""",""time"":1733415469003},{""percent"":""30 %"",""VapTemp"":""57.5 C"",""DistRate"":""4.9 ml/min"",""LiqTemp"":""70.7 C"",""HeatTemp"":""373.2 C"",""VapTempAdjusted"":""57.5 C"",""VapTempCorrected"":""57.5 C"",""VapTempEvaporated"":"""",""time"":1733415469004},{""percent"":""40 %"",""VapTemp"":""61.8 C"",""DistRate"":""4.4 ml/min"",""LiqTemp"":""74.6 C"",""HeatTemp"":""387.1 C"",""VapTempAdjusted"":""61.8 C"",""VapTempCorrected"":""61.8 C"",""VapTempEvaporated"":"""",""time"":1733415469005},{""percent"":""50 %"",""VapTemp"":""65.9 C"",""DistRate"":""4 ml/min"",""LiqTemp"":""79.8 C"",""HeatTemp"":""438.7 C"",""VapTempAdjusted"":""65.9 C"",""VapTempCorrected"":""65.9 C"",""VapTempEvaporated"":"""",""time"":1733415469006},{""percent"":""60 %"",""VapTemp"":""89.3 C"",""DistRate"":""5.4 ml/min"",""LiqTemp"":""96.3 C"",""HeatTemp"":""488.7 C"",""VapTempAdjusted"":""89.3 C"",""VapTempCorrected"":""89.3 C"",""VapTempEvaporated"":"""",""time"":1733415469007},{""percent"":""70 %"",""VapTemp"":""105.9 C"",""DistRate"":""4.2 ml/min"",""LiqTemp"":""104.2 C"",""HeatTemp"":""461.7 C"",""VapTempAdjusted"":""105.9 C"",""VapTempCorrected"":""105.8 C"",""VapTempEvaporated"":"""",""time"":1733415469008},{""percent"":""80 %"",""VapTemp"":""117.1 C"",""DistRate"":""4 ml/min"",""LiqTemp"":""111.1 C"",""HeatTemp"":""476.5 C"",""VapTempAdjusted"":""117.1 C"",""VapTempCorrected"":""117.1 C"",""VapTempEvaporated"":"""",""time"":1733415469009},{""percent"":""85 %"",""VapTemp"":""128.3 C"",""DistRate"":""3.6 ml/min"",""LiqTemp"":""119 C"",""HeatTemp"":""541.2 C"",""VapTempAdjusted"":""128.3 C"",""VapTempCorrected"":""128.3 C"",""VapTempEvaporated"":"""",""time"":1733415469010},{""percent"":""90 %"",""VapTemp"":""132.5 C"",""DistRate"":""8.7 ml/min"",""LiqTemp"":""121.9 C"",""HeatTemp"":""480.1 C"",""VapTempAdjusted"":""132.5 C"",""VapTempCorrected"":""132.5 C"",""VapTempEvaporated"":"""",""time"":1733415469011},{""percent"":""95 %"",""VapTemp"":""133 C"",""DistRate"":"""",""LiqTemp"":""122.4 C"",""HeatTemp"":"""",""VapTempAdjusted"":""133 C"",""VapTempCorrected"":""132.9 C"",""VapTempEvaporated"":"""",""time"":1733415469012},{""percent"":""FBP 93 %"",""DistRate"":""0 min 7 sec"",""LiqTemp"":""122.4 C"",""HeatTemp"":""427.1 C"",""VapTemp"":""133.2 C"",""VapTempAdjusted"":""133 C"",""VapTempCorrected"":""133.2 C"",""VapTempEvaporated"":"""",""time"":""7""}]",2024-12-05 16:17:48+00,2024-12-05 16:17:48+00:00,2024-12-05 16:48:13+00:00,,,,30.416666666666668,35.364,0.0,121.359,0.0,65.87133333333334,0.0023094010767541,30.416666666666668,0.0
b8896b7b5253520f81d3af82033e980efbbb15de942afb6916cd73538e24c8f1,180469-10tyutyt,731f339c-0327-4a22-9df3-3324da5ac628,"[{""percent"":""IBP"",""DistRate"":""-547 min -8 sec"",""LiqTemp"":"""",""HeatTemp"":"""",""VapTemp"":"""",""VapTempAdjusted"":"""",""VapTempCorrected"":"""",""VapTempEvaporated"":"""",""time"":""-32768""},{""percent"":""FBP  %"",""DistRate"":""-547 min -8 sec"",""LiqTemp"":"""",""HeatTemp"":"""",""VapTemp"":"""",""VapTempAdjusted"":"""",""VapTempCorrected"":"""",""VapTempEvaporated"":"""",""time"":""-32768""}]",2025-02-07 16:15:43+00,2025-02-07 16:15:43+00:00,2025-02-07 16:15:44+00:00,,,,0.0166666666666666,35.364,0.0,121.359,0.0,65.87133333333334,0.0023094010767541,30.416666666666668,0.0
