product,avg_ibp,std_ibp,avg_fbp,std_fbp,avg_t50,std_t50,avg_test_duration,std_test_duration
**4100 GOMK,279.4282857142857,6.710008015749938,357.0885714285714,15.906673493192953,336.0774285714286,7.157959389312545,41.707142857142856,2.3300742545562834
10% BTMS,186.96349462365592,16.14125310960523,307.208,16.89605771294389,266.87967741935483,16.285876987213072,33.00215053763441,2.125550831998835
10% RESIDUE,214.17649999999998,25.429681171811794,325.38,4.903078420747499,290.1225,16.750652539528097,36.75833333333334,0.789602572324981
10% Residue,209.833,34.04294887344515,322.898,29.3633161955526,279.776,29.44392636860783,35.233333333333334,3.606244584051396
10%RESID-CCR,211.49783333333335,12.20735218491982,312.5885,9.14438520076665,283.3125,6.362124637257602,34.980555555555554,0.6159380079436817
106558-153a,68.563,0.0,135.578,0.0,118.88266666666668,0.0023094010767613256,35.78333333333333,0.0
107972-5 ez,40.589,0.0,123.459,0.0,106.1905,0.0007071067811899238,36.91666666666666,0.0
15647-1srvhi,30.288,0.0,147.298,0.0,75.16133333333333,0.0011547005383857906,33.68333333333333,0.0
17089-181x,35.335,,131.419,,91.444,,33.983333333333334,
171450-24a,153.897,0.0,218.874,0.0,187.272,0.0,42.9,0.0
171450-43a,29.964,0.0,137.51,0.0,79.21466666666667,0.004041451884328217,34.1,0.0
171450-78a,23.209,,163.374,,103.571,,35.916666666666664,
171450-78opt,24.052111111111113,0.02951459149490683,171.00155555555557,0.04321779468898479,104.65733333333333,0.035531676008873025,35.8,0.0
174586-999,27.413,0.0,75.614,0.0,46.68333333333334,0.0025819888974734596,34.9,0.0
174835-333333333,37.678,0.0,110.212,0.0,98.456,0.0,36.68333333333333,0.0
174869-25opt,36.013,0.0,128.974,0.0,65.136,0.004431293675253915,34.166666666666664,0.0
174930-111111111,33.122,0.0,144.465,0.0,65.06066666666668,0.0005163977794967879,35.666666666666664,0.0
175019-2 bagels,46.431,0.0,314.609,0.0,168.174,0.0,34.833333333333336,0.0
175142-444,71.237,0.0,121.268,0.0,105.112,0.0,36.083333333333336,0.0
175154-2ttttttbb,33.399,,126.167,,67.211,,35.18333333333333,
175256-1010,27.073,,76.052,,46.717,,32.95,
175281-2800,27.461,,81.787,,47.333,,35.21666666666667,
175334-1a,27.165,,47.319,,42.593,,35.68333333333333,
175338-16A,61.301,,139.704,,107.013,,35.78333333333333,
175403-1GGGG,26.492,,45.183,,41.533,,33.766666666666666,
175430-25a,167.385,,271.381,,220.879,,42.56666666666667,
175458-21,27.682,,78.21,,47.075,,35.75,
175536-6 opt,26.68,,49.209,,41.391,,31.066666666666663,
175546-19,27.435,,74.24,,46.874,,35.96666666666667,
175591-2ggggg,49.64,,305.433,,178.639,,36.35,
175655-5 10%opt,43.584,,147.614,,86.917,,35.53333333333333,
175664-3,45.851,,99.637,,94.323,,36.9,
175707-5BAGEL,35.082,,175.898,,97.284,,34.93333333333333,
175707-6BAGEL,34.949,,153.406,,106.997,,35.81666666666667,
175719-3opt,104.209,,126.285,,125.74,,39.3,
175728-1a,181.66,,278.192,,230.521,,30.0,
175728-2A,29.725,,239.241,,161.761,,38.3,
175729-111,29.114,,46.075,,44.001,,35.016666666666666,
175730-1aaa,36.729,,129.104,,75.574,,35.2,
175755-1iou,25.16,0.005656854249494269,42.040499999999994,1.5054303371461555,39.153,0.05091168824543335,70.33333333333334,1.979898987322326
175821-999,27.274,,73.836,,46.69,,34.95,
175822-17a,35.3,,133.656,,65.381,,36.28333333333333,
175897-111,30.041,,171.314,,79.479,,33.766666666666666,
175922-134,26.754,,76.977,,46.063,,36.16666666666666,
176015-1B,38.385,,152.404,,87.655,,35.4,
176062-123,23.76,,33.025,,36.302,,34.65,
176323-19,57.807,,81.398,,74.64,,35.28333333333333,
176339-54444444A,28.057,,81.845,,49.244,,35.28333333333333,
