short_id,instrument_id,week,test_count,error_count,critical_error_count,error_rate,critical_error_rate
OF10,055dc39a-2794-458a-8e8c-464646a22267,2024-03-18 00:00:00+00:00,0,1,0,-1.1,0.0
OF10,055dc39a-2794-458a-8e8c-464646a22267,2024-04-01 00:00:00+00:00,1,0,0,0.0,0.0
OF10,055dc39a-2794-458a-8e8c-464646a22267,2024-04-15 00:00:00+00:00,0,1,0,-1.1,0.0
OF10,055dc39a-2794-458a-8e8c-464646a22267,2024-04-29 00:00:00+00:00,1,0,0,0.0,0.0
OF10,055dc39a-2794-458a-8e8c-464646a22267,2024-07-29 00:00:00+00:00,1,0,0,0.0,0.0
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-03-25 00:00:00+00:00,2,0,0,0.0,0.0
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-04-01 00:00:00+00:00,17,14,8,0.8235294117647058,0.47058823529411764
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-04-08 00:00:00+00:00,9,0,0,0.0,0.0
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-04-22 00:00:00+00:00,1,0,0,0.0,0.0
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-04-29 00:00:00+00:00,2,0,0,0.0,0.0
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-05-06 00:00:00+00:00,90,108,39,1.2,0.43333333333333335
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-05-13 00:00:00+00:00,26,45,18,1.7307692307692308,0.6923076923076923
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-05-20 00:00:00+00:00,3,0,0,0.0,0.0
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-05-27 00:00:00+00:00,88,129,45,1.4659090909090908,0.5113636363636364
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-06-03 00:00:00+00:00,47,25,4,0.5319148936170213,0.0851063829787234
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-06-10 00:00:00+00:00,68,68,25,1.0,0.36764705882352944
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-06-17 00:00:00+00:00,67,49,16,0.7313432835820896,0.23880597014925373
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-06-24 00:00:00+00:00,71,140,63,1.971830985915493,0.8873239436619719
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-07-01 00:00:00+00:00,65,140,47,2.1538461538461537,0.7230769230769231
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-07-08 00:00:00+00:00,73,44,14,0.6027397260273972,0.1917808219178082
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-07-15 00:00:00+00:00,40,15,2,0.375,0.05
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-08-05 00:00:00+00:00,68,91,46,1.338235294117647,0.6764705882352942
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-08-12 00:00:00+00:00,95,263,155,2.768421052631579,1.631578947368421
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-08-19 00:00:00+00:00,105,195,71,1.8571428571428572,0.6761904761904762
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-08-26 00:00:00+00:00,80,165,88,2.0625,1.1
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-09-02 00:00:00+00:00,78,150,82,1.9230769230769231,1.0512820512820513
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-09-09 00:00:00+00:00,82,238,100,2.902439024390244,1.2195121951219512
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-09-16 00:00:00+00:00,42,136,77,3.238095238095238,1.8333333333333333
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-09-23 00:00:00+00:00,81,117,61,1.4444444444444444,0.7530864197530864
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-09-30 00:00:00+00:00,85,92,55,1.0823529411764705,0.6470588235294118
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-10-07 00:00:00+00:00,97,49,35,0.5051546391752577,0.36082474226804123
OD06,0889e4ec-1473-4d57-a5cb-df61853edf03,2024-10-14 00:00:00+00:00,4,0,0,0.0,0.0
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2023-10-30 00:00:00+00:00,63,77,34,1.2222222222222223,0.5396825396825397
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2023-11-06 00:00:00+00:00,42,72,35,1.7142857142857142,0.8333333333333334
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2023-11-13 00:00:00+00:00,55,61,32,1.1090909090909091,0.5818181818181818
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2023-11-20 00:00:00+00:00,61,43,18,0.7049180327868853,0.29508196721311475
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2023-11-27 00:00:00+00:00,73,53,26,0.726027397260274,0.3561643835616438
